31	Beweis des Expeditionsmitglieds
32	{@g:Fähiger Abenteurer/Fähige Abenteurerin}
33	VIP
34	Neue Ära
333	Elitestatus
334	Gründer{@g:/in}
433	TERA Club
434	Veteran{@g:/in}
1000	TERA-Internetcafé
10031	Belohnung: 2x Valkyons Belohnung, wenn Ihr die Instanzgruppensuche verwendet.
10032	Abklingzeit der Instanz halbiert und Zutritte verdoppelt.
10033	Kommission: keine.<BR>Handelsgebühr: 5%<BR>Handelsregistrierungsnummer: 50.<BR>Preisverhandlung des Handelsagenten: verfügbar.<BR>Belohnung: Valkyons Belohnung, wenn Ihr die Instanzgruppensuche zwischen Servern verwendet.<BR>Abklingzeit der Instanz halbiert und Zutritte verdoppelt.<BR>Instanzneulingsystem aktiv.
10034	Belohnung: Valkyons Belohnung, wenn Ihr die Instanzgruppensuche zwischen Servern verwendet.<BR>Instanzneulingsystem aktiv.
10333	Monatliche Belohnungen auf dem Konto:<BR>2x Valkyons Belohnung, wenn Ihr die Instanzgruppensuche verwendet.<BR>Doppelte Anzahl der verfügbaren Tagesquests.<BR>Doppelte Anzahl der Instanzzutritte.<BR>Probereittier (ändert sich regelmäßig).<BR>Bis zu 50 aktive Angebote bei der Handelsagentur.<BR>Befreiung von Kommissionszahlungen bei der Handelsagentur.<BR>Handelsgebühr von nur 10%.<BR><BR>Monatliche Belohnungen für Einzelcharakter:<BR>Feuriger Heiligenschein.<BR>Handbuch des Reisenden: Dorfreisen.<BR>10 Schlüssel des Verzauberers.<BR>Schriftrollen zur Reiseversicherung.<BR>Stärkungen, die täglich neu aufgefüllt werden.
10334	Dauerhafte Belohnungen auf dem Account:<BR>8 freie Charakterplätze pro Server.<BR>4 Bankfächer pro Server.<BR>Terminus, die argonische Schlachtrosskreuzung.<BR>Titel "Gründer/in".<BR>Bis zu 30 aktive Angebote bei der Handelsagentur.
10433	Monatliche Belohnungen auf dem Konto:&#xA;&#xA;2x Valkyons Belohnung, wenn Ihr die Instanzgruppensuche verwendet&#xA;&#xA;Doppelte Anzahl der verfügbaren Tagesquests&#xA;&#xA;Doppelte Anzahl der Instanzzutritte&#xA;&#xA;Exklusives Reittier (ändert sich regelmäßig)&#xA;&#xA;Bis zu 50 aktive Angebote bei der Handelsagentur&#xA;&#xA;Befreiung von Kommissionszahlungen bei der Handelsagentur&#xA;&#xA;Handelsgebühr von nur 10%&#xA;&#xA;&#xA;&#xA;Handbuch des Reisenden: Dorfreisen&#xA;&#xA;Handbuch des Reisenden: Private Abkürzungen&#xA;&#xA;10 Schlüssel des Seelenbinders&#xA;&#xA;10 Schlüssel des Verzauberers &#xA;&#xA;Schriftrollen zur Reiseversicherung&#xA;&#xA;Stärkungen, die täglich neu aufgefüllt werden
10434	Dauerhafte Belohnungen auf dem Konto:<BR>8 Charaktere pro Server.<BR>4 Bankreiter pro Server.<BR>Titel "Veteran/in der Valkyon-Föderation".<BR>Bis zu 30 aktive Angebote bei der Handelsagentur.
11000	Kommission: keine<BR>Handelsgebühr: 5%.<BR> Handelsregistrierungsnummer: 50.<BR>Preisverhandlung des Handelsagenten: verfügbar.<BR>Internetcafé-Inventar: verfügbar.<BR>Erhaltet 100% zusätzliche Erfahrung.<BR>Erhaltet 100% zusätzliche Rufpunkte.<BR>Erhaltet 100% zusätzliches Gold.
100033	Paketvorteil
100034	Paketvorteil
100333	Paketvorteil
100334	Paketvorteil
100433	Paketvorteil
100434	Paketvorteil
101000	Paketvorteil
