31	Свидетельство члена экспедиции
32	Умелый путник
33	VIP
34	Граница
35	Увеличение опыта талантов на 30
103	Возвращающийся пользователь (Япония)
333	VIP-статус
334	Основатель
335	Console Elite
350	Преимущество сервера
433	Клуб TERA
434	Ветеран
500	VIP
510	Тайваньский сервер быстрого развития
520	VIP2
533	VIP-статус
534	Основатель
600	Блокировка обмена
601	Базовый набор
602	Удобный набор
603	Набор для развития
691	Безопасный режим
701	VIP
800	PC Café (Minor)
801	PC Café (Intermediate)
802	PC Café (Major)
803	PC Café (VIP)
804	User ELITE (Minor)
805	User ELITE (Intermediate)
806	User ELITE (Major)
807	User ELITE (VIP)
1000	Интернет-кафе TERA
10031	Награда: два Валькионских признания при использовании системы подбора подземелий.
10032	Подземелья восстанавливаются вдвое быстрее, а их количество увеличивается в два раза.
10033	Комиссия за передачу товара брокеру: Бесплатно<BR>Комиссия за сделку через брокера: 5% <BR>Количество сделок с брокером: 50<BR>Обсуждение цены: возможно<BR>Награда: Валькионское признание при использовании системы подбора подземелий между серверами<BR>Подземелья восстанавливаются вдвое быстрее, а их количество увеличивается в 2 раза<BR>Система подбора подземелий для новичков<BR>Увеличение получаемого опыта и репутации<BR>Удваивается количество посещений Поляны Древней
10034	Награда: Валькионское признание при использовании системы подбора подземелий между серверами.<BR>Система подбора подземелий для новичков
10035	Повышает опыт талантов на 30%.
10103	Подсказка для возвращающегося пользователя (Япония)
10333	Ежемесячные награды для учетной записи:<BR>Постоянный свиток опыта: 100%.<BR>Постоянный свиток репутации: 100%.<BR>Постоянный свиток Щедрости: 100%.<BR>Атлас.<BR>Журнал путешественника.<BR>Два Валькионских признания за подбор подземелий.<BR>Вдвое больше доступных ежедневных заданий.<BR>Вдвое чаще доступ к подземельям.<BR>До 50 предметов на торгах у брокера.<BR>Освобождение от залога у брокера.<BR>Комиссия брокера всего 10%.<BR>Пробный скакун (периодически меняется).<BR>Ежедневные бонусы и подарочные коробки.
10334	Постоянные преимущества учетной записи: <BR>8 бесплатных слотов для персонажа на сервере.<BR>4 банковские вкладки на сервере.<BR>Терминус, боевая лошадь аргонов.<BR>Титул "Основатель".<BR>До 30 предметов на торгах у брокера.
10433	Вдвое чаще доступ к подземельям и вдвое больше подземелий<BR>Вдвое больше доступных ежедневных заданий<BR>Пробный скакун<BR>Ежедневное пополнение снаряжения<BR>Журнал путешественника: перемещение в деревню<BR>Прокрутка вызова NPC, ключи<BR>До 50 предметов на торгах у брокера<BR>Освобождение от залога у брокера<BR>Комиссия брокера всего 10%&#xA;
10434	Постоянные преимущества учетной записи: <BR>8 ячеек персонажа на сервере.<BR>4 банковские вкладки на сервере.<BR>Титул "Ветеран Валькионской Федерации".<BR>До 30 предметов на торгах у брокера.
10533	Бонусы для учетной записи:<BR> Удвоенное количество получаемого золота<BR> Постоянный эффект неприступного хранителя кристалла<BR> Возможность призыва полезных NPC<BR> Повышение скорости создания предметов <BR> Удвоенное количество ежедневных заданий <BR> Вдвое чаще доступ к подземельям <BR> Возможность выставить до 50 предметов у брокера <BR> Нет комиссии за выставление товара у брокера <BR> Комиссия брокера всего 10% <BR> Особые ездовое животное <BR> Удвоенное количество опыта <BR> Ежедневная коробка с VIP-подарками<BR> Ежедневная коробка с настоем ноктиния <BR>+100% к вероятности выпадения добычи<BR> Ежедневный доступ на Поляну Древней&#xA;&#xA;*Эффекты VIP-статуса больше не отображаются в игре значком в списке эффектов.
10534	Вы приобрели набор раннего доступа и становитесь обладателем титула "Основатель".
10600	Блокировка передачи предметов и монет позволяет предотвратить возможные случаи воровства предметов с учетных записей, которые длительное время не подключались к игре.<br>Для разблокирования нажмите кнопку "проверить" и авторизуйтесь.
10601	Постоянные преимущества учетной записи: <BR>8 ячеек персонажа на сервере.<BR>4 банковские вкладки на сервере.<BR>Титул "Ветеран Валькионской Федерации".<BR>До 30 предметов на торгах у брокера.
10602	Ежемесячные награды для учетной записи:<BR>Два Валькионских признания за подбор подземелий.<BR>Вдвое больше доступных ежедневных заданий.<BR>Вдвое чаще доступ к подземельям.<BR>Пробный скакун (периодически меняется).<BR>До 50 предметов на торгах у брокера.<BR>Освобождение от залога у брокера.<BR>Комиссия брокера всего 10%.<BR><BR>Атлас.<BR>10 ключей от ящика.<BR>Свитки страховки путешественника.<BR>Бонусы восстанавливаются ежедневно.
10603	Ежемесячные награды для учетной записи:<BR>Два Валькионских признания за подбор подземелий.<BR>Вдвое больше доступных ежедневных заданий.<BR>Вдвое чаще доступ к подземельям.<BR>Пробный скакун (периодически меняется).<BR>До 50 предметов на торгах у брокера.<BR>Освобождение от залога у брокера.<BR>Комиссия брокера всего 10%.<BR><BR>Атлас.<BR>10 ключей от ящика.<BR>Свитки страховки путешественника.<BR>Бонусы восстанавливаются ежедневно.
10691	Ежемесячные награды для учетной записи:<BR>Два Валькионских признания за подбор подземелий.<BR>Вдвое больше доступных ежедневных заданий.<BR>Вдвое чаще доступ к подземельям.<BR>Пробный скакун (периодически меняется).<BR>До 50 предметов на торгах у брокера.<BR>Освобождение от залога у брокера.<BR>Комиссия брокера всего 10%.<BR><BR>Атлас.<BR>10 ключей от ящика.<BR>Свитки страховки путешественника.<BR>Бонусы восстанавливаются ежедневно.
11000	Комиссия за передачу товара брокеру: Бесплатно<BR>Комиссия за сделку через брокера: 5% <BR>Количество сделок с брокером: 50<BR>Обсуждение цены: возможно<BR>Шанс создания шедевра: увеличивается на 10%<BR>Доступ к сумке для компьютерных клубов<BR>Дополнительно 100% опыта во время охоты<BR>Дополнительно 100% золота во время охоты<BR>Дополнительно 100% золота в награду за выполнение задания<BR>Значительно снижено время производства
100033	Свойства набора
100034	Свойства набора
100103	Награда для возвращающегося пользователя (Япония)
100333	Свойства набора
100334	Свойства набора
100350	Вы получаете удвоенное количество опыта.
100433	Свойства набора
100434	Свойства набора
100533	Свойства набора
100534	Свойства набора
100600	Отправка по почте, использование услуг брокера и банка гильдии, участие в групповых боях.
100601	Свойства набора
100602	Свойства набора
100603	Свойства набора
100691	Безопасный режим
101000	Свойства набора
1000600	Блокировка передачи предметов позволяет предотвратить возможные случаи воровства предметов с учетных записей, которые длительное время не подключались к игре.
88888888	Событие "Время в игре"
1088888888	Событие "Время в игре"
1188888888	Взять
1288888888	Ок
