31	Proof of the expedition member
32	Skillful Adventurer
33	TERA Rewards
34	Frontier
35	EP XP increases by 30
77	Monthly Pass
103	Japan Returning user
104	JP Tooltip
333	Elite Status
334	Founder
335	Elite Status
350	Server Benefit
433	TERA Club
434	Veteran
500	VIP
510	TW XP Boost Server
520	VIP2
533	VIP
534	Founder
600	Trade restricted
601	Basic Package
602	Convenience Package
603	Growth Package
691	Safe Mode
701	VIP
800	PC Café (Minor)
801	PC Café (Intermediate)
802	PC Café (Major)
803	PC Café (VIP)
804	User ELITE (Minor)
805	User ELITE (Intermediate)
806	User ELITE (Major)
807	User ELITE (VIP)
809	[Event] Member Pass
810	Member Pass
1000	TERA PC cafe
10031	Reward: receive two Valkyon's Response when using instance matching.
10032	Decrease cooldown of instance in half & increase instance entries by 100%
10033	Earnest Money: exemption<BR>Trading brokerage fee: 5%<BR>Brokerage Registration Number: 50<BR>Broker's price negotiation: Available<BR>Reward: receive Valkyon's Response when using instance matching system between servers.<BR>Decrease cooldown of instance & increase instance entries<BR>Increases maximum number and charging speed of Adventure Coin<BR>Apply Instance Beginner System<BR>Apply XP Boost and Reputation Boost<BR>Doubles access to Ghillieglade.
10034	Reward: receive Valkyon's Response when using instance matching system between servers.<BR>Apply Instance Beginner System
10035	EP XP increases by 30%.
10077	Daily Federation Bill reward: 250<BR>100% XP Boost (1 Hour) access<BR>Earnest Money: 2%<BR>Trading brokerage fee: 10%<BR>Brokerage Registration Number: 50<BR>Broker's price negotiation: Available<BR>Decrease cooldown of instance & increase instance entries<BR>Increases maximum number and charging speed of Adventure Coin<BR>Apply Instance Beginner System<BR>Apply XP Boost and EP Boost<BR>Increased Item XP gains<BR>Can access to Velik's Sanctuary.
10103	Japan Returning user tooltip
10104	JP Tooltip
10333	Monthly Account Rewards:<BR>Daily allotment of 15 EMP<BR>Flying mount (specific mount changes periodically)<BR>Permanent 100% XP Boost<BR>Permanent 100% Reputation Boost<BR>Permanent 100% Quester's Gold Boost<BR>Permanent 50% Crafter's Speed Boost<BR>Continuous Crystalbind effect<BR>Village Atlas<BR>Travel Journal<BR>Two Valkyon's Responses from Instance Matching<BR>Twice as many available daily quests<BR>Instance access twice as often<BR>Up to 50 items active on brokerage<BR>Exempt from earnest money requirements on brokerage<BR>Brokerage fee of only 10%<BR><BR>Daily boosts and loot boxes.
10334	Permanent Account Rewards: <BR>8 free character slots per server.<BR>4 bank tabs per server.<BR>Terminus, the argon hybrid warhorse.<BR>"Founder" title.<BR>Up to 50 items active on brokerage.
10335	Monthly Account Rewards:<BR>Daily allotment of 15 EMP<BR>Flying mount (specific mount changes periodically)<BR>Permanent 100% XP Boost<BR>Permanent 100% Reputation Boost<BR>Permanent 100% Quester's Gold Boost<BR>Permanent 50% Crafter's Speed Boost<BR>Continuous Crystalbind effect<BR>Village Atlas<BR>Travel Journal<BR>Two Valkyon's Responses from Instance Matching<BR>Twice as many available daily quests<BR>Instance access twice as often<BR>Up to 50 items active on brokerage<BR>Exempt from earnest money requirements on brokerage<BR>Brokerage fee of only 10%<BR><BR>Daily boosts and loot boxes.
10433	Monthly Account Rewards:<BR>Two Valkyon's Responses from Instance Matching.<BR>Twice as many available daily quests.<BR>Instance access twice as often.<BR>Sampler mount (changes periodically).<BR>Up to 50 items active on brokerage.<BR>Exempt from earnest money requirements on brokerage.<BR>Brokerage fee of only 10%.<BR><BR>Village atlas.<BR>Ten strongbox keys.<BR>Traveler's Insurance scrolls.<BR>Boosts that replenish daily.
10434	Permanent Account Rewards: <BR>8 characters available per server.<BR>4 bank tabs per server.<BR>"Veteran of the Valkyon Federation" title.<BR>Up to 30 items active on brokerage.
10600	In order to prevent account theft, trading items or gold to inactive accounts is restricted.<br>Press the icon and verify your account to enable trading.
10601	Permanent Account Rewards: <BR>8 characters available per server.<BR>4 bank tabs per server.<BR>"Veteran of the Valkyon Federation" title.<BR>Up to 30 items active on brokerage.
10602	Monthly Account Rewards:<BR>Two Valkyon's Responses from Instance Matching.<BR>Twice as many available daily quests.<BR>Instance access twice as often.<BR>Sampler mount (changes periodically).<BR>Up to 50 items active on brokerage.<BR>Exempt from earnest money requirements on brokerage.<BR>Brokerage fee of only 10%.<BR><BR>Village atlas.<BR>Ten strongbox keys.<BR>Traveler's Insurance scrolls.<BR>Boosts that replenish daily.
10603	Monthly Account Rewards:<BR>Two Valkyon's Responses from Instance Matching.<BR>Twice as many available daily quests.<BR>Instance access twice as often.<BR>Sampler mount (changes periodically).<BR>Up to 50 items active on brokerage.<BR>Exempt from earnest money requirements on brokerage.<BR>Brokerage fee of only 10%.<BR><BR>Village atlas.<BR>Ten strongbox keys.<BR>Traveler's Insurance scrolls.<BR>Boosts that replenish daily.
10691	Monthly Account Rewards:<BR>Two Valkyon's Responses from Instance Matching.<BR>Twice as many available daily quests.<BR>Instance access twice as often.<BR>Sampler mount (changes periodically).<BR>Up to 50 items active on brokerage.<BR>Exempt from earnest money requirements on brokerage.<BR>Brokerage fee of only 10%.<BR><BR>Village atlas.<BR>Ten strongbox keys.<BR>Traveler's Insurance scrolls.<BR>Boosts that replenish daily.
10800	When hunting, you will get additional EXP 10%<BR>When hunting, you will get additional Gold 10%
10801	When hunting, you will get additional EXP 20%<BR>When hunting, you will get additional Gold 20%
10802	When hunting, you will get additional EXP 30%<BR>When hunting, you will get additional Gold 30%<BR> Get additional Gold from quest 50%
