31	遠征隊員證明
32	熟練的冒險家
33	VIP
34	邊境
35	特別經驗值增加 30
77	每月通過
101	日本 VIP
102	日本Frontier
103	日本回歸者
104	水晶保護(日本VIP 3個月BUFF)
333	Elite
334	Founder
335	Console Elite
350	謎斯特的恩惠伺服器優惠
433	TERA Club
434	Veteran
435	Velika Recruit Pack
436	Vanguard Warrior Pack
437	Arborean Hero Pack
500	鈦金VIP
510	高速成長
520	VIP2
530	白金VIP
533	VIP
534	Founder
600	交易限制
601	基本組合包
691	安全模式
701	鈦金VIP
800	PC Café (Minor)
801	PC Café (Intermediate)
802	PC Café (Major)
803	PC Café (VIP)
804	User ELITE (Minor)
805	User ELITE (Intermediate)
806	User ELITE (Major)
807	User ELITE (VIP)
809	【活動】白金VIP
810	白金VIP
1000	TERA 網咖
10031	使用跨服組隊配對系統時發送遠征隊獎勵2組
10032	副本冷卻時間縮短為1/2& 挑戰次數增加2倍
10033	交易仲介所登錄手續費: 免費<BR>交易仲介所交易手續費: 5% <BR>交易仲介所登錄數量: 50個<BR>交易仲介所可使用拍賣功能<BR>副本冷卻時間縮短& 增加挑戰次數<BR>冒險代幣最大量及提高代幣填充速度<BR>適用副本初階系統<BR>適用高速成長及信賴的證明效果<BR>可進入優惠空間
10034	部分高級副本冷卻時間縮短<BR>適用副本初階系統
10035	特別經驗值獲得量增加30%。
10070	可以使用高速成長藥水(1小時)<BR>交易仲介所登錄手續費: 2%<BR>交易仲介所交易手續費: 10%  <BR>交易仲介所登錄數量: 50個<BR>交易仲介所可使用拍賣功能<BR>副本冷卻時間縮短& 增加挑戰次數<BR>冒險代幣最大量及提高代幣填充速度<BR>套用副本初階系統<BR>套用高速成長與特殊高速成長效果<BR>裝備熟練度獲得量增加<BR>可進入優惠空間
10077	每日給付T-cat 250個<BR>可以使用高速成長藥水(1小時)<BR>交易仲介所登錄手續費: 2%<BR>交易仲介所交易手續費: 10%  <BR>交易仲介所登錄數量: 50個<BR>交易仲介所可使用拍賣功能<BR>副本冷卻時間縮短& 增加挑戰次數<BR>冒險代幣最大量及提高代幣填充速度<BR>適用副本初階系統<BR>適用高速成長及信賴的證明效果<BR>可進入優惠空間
10101	日本 VIP Tool Tip 
10102	日本Frontier Tool Tip 
10103	日本回歸者 Tool Tip 
10104	日本 VIP 3個月BUFF 提示說明
