1	1001	Death is Only...
2	2001	Death Row
3	3001	Death Wish
4	4001	Petty Cash
5	5001	Pet Project
6	6001	Pet Smart
7	7001	Group Thinking
8	8001	Party Planner
9	9001	Party Time
10	10001	You Picked Me
11	11001	You Want Me
12	12001	You Need Me
13	13001	Found the Leader in Me
14	14001	Lead on to Victory
15	15001	Leader of the Pack
16	16001	We are Family
17	17001	Better With You
18	18001	Still Haven't Found What I'm Looking For
19	19001	Hounded a Hundred
20	20001	Thrashed a Thousand
21	21001	Marred a Myriad
22	22001	Fillet Fifty K
23	23001	Ten Big Ones
24	24001	A Hundred Big Ones
25	25001	A Thousand Big Ones
26	26001	A Hundred Small
27	27001	A Thousand Small
28	28001	Ten Thousand Small
29	29001	Competitive
30	30001	Competitive Sports
31	31001	Fiercely Competitive
32	32001	Winning Edge
33	33001	Strategic Edge
34	34001	Competitive Edge
35	35001	Playing with Matches
36	36001	Matchbook
37	37001	Matchmaker
38	38001	Smells like Team Spirit
39	39001	Team Idol
40	40001	Team Titan
41	41001	Uncommon Ground
42	42001	Uncommon Sense
43	43001	Uncommon Wealth
44	44001	Rare Treat
45	45001	Rare Finds
46	46001	Rare Company
47	47001	Superior Court I
48	48001	Superior Court X
49	49001	Superior Court L
50	50001	Speed Demon
51	51001	Who Needs a Healer?
52	52001	Level 10
53	53001	Level 20
54	54001	Level 30
55	55001	Level 40
56	56001	Level 50
57	57001	Money Talks
58	58001	Money Talks Louder
59	59001	Money Talks Louder Than Ever
60	60001	Money Don't Need to Say a Thing
61	61001	Lead Warrior
62	62001	Lead Lancer
63	63001	Lead Slayer
64	64001	Lead Berserker
65	65001	Lead Sorcerer
66	66001	Lead Archer
67	67001	Lead Priest
68	68001	Lead Mystic
69	69001	Lucky Streak
70	70001	Hot Streak
71	71001	Wasted a Warrior
72	72001	Lambasted a Lancer
73	73001	Slaughtered a Slayer
74	74001	Bested a Berserker
75	75001	Schooled a Sorcerer
76	76001	Annihilated an Archer
