50100	士気低下	icon_status.minusattack_tex	長期戦により士気が低下し、攻撃力が減少します。休息が必要です。
50200	疲労困憊	icon_status.exhaustion_tex	極度の疲労により、最大HPとMPが減少します。休息が必要です。
50300	気力充実	icon_status.merit_tex	十分な休息により気力がみなぎっています。最大HPとMPが増加します。
51100	力上昇 I	icon_items.mysterypaper1_tex	護符の効果により、力が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51110	力上昇 II	icon_items.mysterypaper2_tex	護符の効果により、力が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51120	力上昇 III	icon_items.mysterypaper3_tex	護符の効果により、力が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51130	力上昇 IV	icon_items.mysterypaper4_tex	護符の効果により、力が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51140	力上昇 IV	icon_items.mysterypaper4_tex	神官の証票の奇妙な力により、力が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51150	力上昇 IV	icon_items.mysterypaper4_tex	三色護符の奇妙な力により、力が上昇します。コンディションによって効果が変わり、最大30分間持続します。
51200	クリティカル発生上昇 I	icon_items.mysterypaper1_tex	護符の効果により、クリティカル発生が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51210	クリティカル発生上昇 II	icon_items.mysterypaper2_tex	護符の効果により、クリティカル発生が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51220	クリティカル発生上昇 III	icon_items.mysterypaper3_tex	護符の効果により、クリティカル発生が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51230	クリティカル発生上昇 IV	icon_items.mysterypaper4_tex	護符の効果により、クリティカル発生が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51300	攻撃速度上昇 I	icon_items.mysterypaper1_tex	護符の効果により、基本攻撃スキルの攻撃速度が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51310	攻撃速度上昇 II	icon_items.mysterypaper2_tex	護符の効果により、基本攻撃スキルの攻撃速度が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51320	攻撃速度上昇 III	icon_items.mysterypaper3_tex	護符の効果により、基本攻撃スキルの攻撃速度が上昇します。コンディションによって効果が変わり、最大15分間持続します。
