50100	士氣降低	icon_status.minusattack_tex	因不斷的戰鬥導致士氣降低而減少攻擊力。需要休息。
50200	極度疲勞	icon_status.exhaustion_tex	因極度的疲勞，將會減少最大HP和MP。需要休息。
50300	充滿氣息	icon_status.merit_tex	已透過充分的休息而充滿氣息。將會增加最大HP和MP。
51100	力量增加 I	icon_items.mysterypaper1_tex	隨著疑問符咒的奇異力量，將會提升力量。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51110	力量增加 II	icon_items.mysterypaper2_tex	隨著疑問符咒的奇異力量，將會提升力量。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51120	力量增加 III	icon_items.mysterypaper3_tex	隨著疑問符咒的奇異力量，將會提升力量。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51130	力量增加 IV	icon_items.mysterypaper4_tex	隨著疑問符咒的奇異力量，將會提升力量。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51140	力量增加 IV	icon_items.mysterypaper4_tex	隨著神官證明的奇異力量，將會提升力量。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51150	力量增加 IV	icon_items.mysterypaper4_tex	隨著三色護身符的奇異力量，將會提升力量。若健康狀態良好，效果最高將會維持30分鐘，並隨著健康狀態而讓效果大小有所不同。
51200	暴擊率增加 I	icon_items.mysterypaper1_tex	隨著疑問符咒的奇異力量，將會提升暴擊機率。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51210	暴擊率增加 II	icon_items.mysterypaper2_tex	隨著疑問符咒的奇異力量，將會提升暴擊機率。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51220	暴擊率增加 III	icon_items.mysterypaper3_tex	隨著疑問符咒的奇異力量，將會提升暴擊機率。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51230	暴擊率增加 IV	icon_items.mysterypaper4_tex	隨著疑問符咒的奇異力量，將會提升暴擊機率。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
512300	暴擊率增加 IV	icon_items.mysterypaper4_tex	隨著疑問符咒的奇異力量，將會提升暴擊機率。若健康狀態良好，效果最高將會維持30分鐘，並隨著健康狀態而讓效果大小有所不同。
51300	攻擊速度增加 I	icon_items.mysterypaper1_tex	隨著疑問符咒的奇異力量，將會提升基本攻擊技能的攻擊速度。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51310	攻擊速度增加 II	icon_items.mysterypaper2_tex	隨著疑問符咒的奇異力量，將會提升基本攻擊技能的攻擊速度。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51320	攻擊速度增加 III	icon_items.mysterypaper3_tex	隨著疑問符咒的奇異力量，將會提升基本攻擊技能的攻擊速度。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51330	攻擊速度增加 IV	icon_items.mysterypaper4_tex	隨著疑問符咒的奇異力量，將會提升基本攻擊技能的攻擊速度。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51400	擊倒率增加 I	icon_items.mysterypaper1_tex	隨著疑問符咒的奇異力量，將會提升擊倒機率。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51410	擊倒率增加 II	icon_items.mysterypaper2_tex	隨著疑問符咒的奇異力量，將會提升擊倒機率。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51420	擊倒率增加 III	icon_items.mysterypaper3_tex	隨著疑問符咒的奇異力量，將會提升擊倒機率。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
51430	擊倒率增加 IV	icon_items.mysterypaper4_tex	隨著疑問符咒的奇異力量，將會提升擊倒機率。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52100	抗打增加 I	icon_items.magicalpaper1_tex	隨著神秘符咒的奇異力量，將會提升抗打能力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52110	抗打增加 II	icon_items.magicalpaper2_tex	隨著神秘符咒的奇異力量，將會提升抗打能力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52120	抗打增加 III	icon_items.magicalpaper3_tex	隨著神秘符咒的奇異力量，將會提升抗打能力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52130	抗打增加 IV	icon_items.magicalpaper4_tex	隨著神秘符咒的奇異力量，將會提升抗打能力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
