21000	Evasive Roll	20100	icon_skills.tumbling_tex	Rolamento Evasivo Rápido	icon_crest.e_crestactiveattackspeedup_tex	30% de chance de aumentar a Velocidade de Ataque em 15% por 10 segundos.
21001	Retaliate	130100	icon_skills.risingattack_tex	Retaliação Energética	icon_crest.e_crestpassivecooltimedown_tex	Diminui o tempo de recarga em 20%.
21002	Death From Above	100100	icon_skills.evasionattack_tex	Morte energética vinda do alto	icon_crest.e_crestpassivecooltimedown_tex	Diminui o tempo de recarga em 30%.
21003	Mangle	140100	icon_skills.aimingankle_tex	Teste	icon_skills.voidtrap_tex	Sem efeito
21004	Combo Attack	10100	icon_skills.comboattack_tex	Ataque combinado ameaçador	icon_crest.e_crestpassiveaggroup_tex	Fornece aggro adicional de 5%.
21005	Torrent of Blows	30100	icon_skills.nanmu_tex	Torrent de golpes ameaçadores	icon_crest.e_crestpassiveaggroup_tex	Fornece aggro adicional de 20%.
21006	Rain of Blows	40100	icon_skills.pointattack_tex	Chuva de golpes com poder	icon_crest.e_crestpassiveattackup_tex	Aumenta o dano da habilidade em 25%.
21007	Leaping Strike	120100	icon_skills.downblowattack_tex	Golpe de salto fortalecido	icon_crest.e_crestpassiveattackup_tex	Aumenta o dano da habilidade em 25%.
21008	Poison Blade	110100	icon_skills.poisonblowattack_tex	Lâmina de veneno virulento	icon_crest.e_crestpassiveskilleffectup_tex	Aumenta o dano de veneno em 15%.
21009	Defensive Stance	90100	icon_skills.ironwillb_tex	Postura defensiva aterrada	icon_crest.e_crestpassiveskilleffectup_tex	Aumenta a resistência em 20%.
21010	Retaliate	130100	icon_skills.risingattack_tex	Retaliar com poder	icon_crest.e_crestpassiveattackup_tex	Aumenta o dano da habilidade em 25%.
21011	Torrent of Blows	30100	icon_skills.nanmu_tex	Torrent de golpes influentes	icon_crest.e_crestnextskillmpdown_tex	Reduz o custo de PM da Chuva de Golpes em 88 por alguns segundos.
21012	Retaliate	130100	icon_skills.risingattack_tex	Retaliação influente	icon_crest.e_crestnextskillmpdown_tex	Reduz o custo de PM do Leaping Strike em 75 por alguns segundos.
21013	Combo Attack	10100	icon_skills.comboattack_tex	Ataque Combo Espirituoso	icon_crest.e_crestpassivemprecoveryup_tex	Aumenta a reposição de MP em 35%.
21014	Death From Above	100100	icon_skills.evasionattack_tex	Morte rápida vinda do alto	icon_crest.e_crestactiveattackspeedup_tex	50% de chance de aumentar a Velocidade de Ataque em 15% por 10 segundos.
21015	Evasive Roll	20100	icon_skills.tumbling_tex	Rolagem evasiva interminável	icon_crest.e_crestactivecooltimereset_tex	Reduz o custo de RE em 100.
21016	Battle Cry	50100	icon_skills.thunderingroar_tex	Grito de guerra energético	icon_crest.e_crestpassivecooltimedown_tex	Diminui o tempo de recarga em 20%.
21017	Rain of Blows	40100	icon_skills.pointattack_tex	Chuva de golpes restauradores	icon_crest.e_crestpassivehpheal_tex	Restaura imediatamente 0,5% HP.
21018	Combative Strike	180100	icon_skills.aggravatingstrike_tex	Golpe Sanativo Combativo	icon_crest.e_crestpassivehpdown_tex	Diminui o consumo de HP em 50%.
21019	Vortex Slash	170100	icon_skills.allroundslash_tex	Corte de Vórtice Potencializado	icon_crest.e_crestpassiveattackup_tex	Aumenta o dano da habilidade em 25%.
21020	Charging Slash	160100	icon_skills.rushingslash_tex	Corte de carregamento energético	icon_crest.e_crestpassivecooltimedown_tex	Diminui o tempo de recarga em 25%.
21021	Assault Stance	80100	icon_skills.ironwilla_tex	Teste	icon_skills.voidtrap_tex	Sem efeito
21022	Rising Fury	190100	icon_skills.tenaciousattack_tex	Fúria crescente e persistente	icon_crest.e_crestactivecooltimereset_tex	25% chance de eliminar o tempo de espera.
21023	Smoke Aggressor	240100	icon_skills.decoy_tex	Agressor energético de fumaça	icon_crest.e_crestpassivecooltimedown_tex	Diminui o tempo de recarga em 20%.
21024	Backstab	220100	icon_skills.backattack_tex	Backstab Lacerante	icon_crest.e_crestpassivedurationup_tex	Aumenta a duração do efeito em 50%.
21025	Deadly Gamble	200100	icon_skills.deadlywill_tex	Aposta mortal energética	icon_crest.e_crestpassivecooltimedown_tex	Diminui o tempo de recarga em 25%.
21026	Staggering Counter	230100	icon_skills.reversalturningattack_tex	Balcão de escalonamento capacitado	icon_crest.e_crestpassiveattackup_tex	Aumenta o dano da habilidade em 25%.
21027	Cascade of Stuns	210100	icon_skills.hardslash_tex	Cascata brilhante de atordoamentos	icon_crest.e_crestpassivempdown_tex	Reduz o custo de MP em 88.
21028	Combative Strike	180100	icon_skills.aggravatingstrike_tex	Ataque combativo com ligação elétrica	icon_crest.e_crestnextskillattackup_tex	Aumenta o dano da Fúria Crescente em 20% por alguns segundos.
21029	Charging Slash	160100	icon_skills.rushingslash_tex	Slash de carregamento influente	icon_crest.e_crestnextskillmpdown_tex	Reduz o custo de MP da Poison Blade em 50 por alguns segundos.
21030	Cascade of Stuns	210100	icon_skills.hardslash_tex	Cascata influente de atordoamentos	icon_crest.e_crestnextskillmpdown_tex	Reduz o custo de PM da Chuva de Golpes em 88 por alguns segundos.
21031	Cascade of Stuns	210100	icon_skills.hardslash_tex	Cascata de atordoamentos com ligação elétrica	icon_crest.e_crestnextskillattackup_tex	Aumenta o dano da Chuva de golpes em 20% por alguns segundos.
21032	Cascade of Stuns	210100	icon_skills.hardslash_tex	Cascata energética de atordoamentos	icon_crest.e_crestactivecooltimereset_tex	Diminui o tempo de recarga em 25%.
21033	Rising Fury	190100	icon_skills.tenaciousattack_tex	Fúria crescente entorpecente	icon_crest.e_crestactiveattackspeeddown_tex	10% de chance de reduzir a Velocidade de Ataque do oponente em 15% por 7 segundos.
21034	Torrent of Blows	30100	icon_skills.nanmu_tex	Vinculação de torrentes de golpes	icon_crest.e_crestactivespeeddown_tex	25% de chance de imobilizar o alvo por 4 segundos.
21035	Charging Slash	160100	icon_skills.rushingslash_tex	Corte de carregamento com link de energia	icon_crest.e_crestnextskillattackup_tex	Aumenta o dano do Golpe Combativo em 20% por alguns segundos.
21036	Backstab	220100	icon_skills.backattack_tex	Punhalada Energética pelas Costas	icon_crest.e_crestpassivecooltimedown_tex	Diminui o tempo de recarga em 25%.
21037	Staggering Counter	230100	icon_skills.reversalturningattack_tex	Contador de escalonamento persistente	icon_crest.e_crestpassivedurationup_tex	Aumenta a duração do efeito em 50%.
21038	Staggering Counter	230100	icon_skills.reversalturningattack_tex	Balcão de escalonamento energético	icon_crest.e_crestactivecooltimereset_tex	Diminui o tempo de recarga em 20%.
21039	Combo Attack	10100	icon_skills.comboattack_tex	Ataque combinado de sabotagem	icon_crest.e_crestactivestun_tex	5% de chance de atordoar o alvo por 2 segundos.
21040	Battle Cry	50100	icon_skills.thunderingroar_tex	Grito de guerra apressado	icon_crest.e_crestpassiveskillspeedup_tex	Aumenta a velocidade de lançamento em 50%.
21041	Battle Cry	50100	icon_skills.thunderingroar_tex	Grito de guerra da sorte	icon_crest.e_crestpassivethorns_tex	Aumenta a chance do efeito em 10%.
21042	Battle Cry	50100	icon_skills.thunderingroar_tex	Grito de guerra ameaçador	icon_crest.e_crestpassiveaggroup_tex	Fornece aggro adicional de 100%.
21043	Combative Strike	180100	icon_skills.aggravatingstrike_tex	Golpe combativo persistente	icon_crest.e_crestpassivedurationup_tex	Aumenta a duração do efeito em 50%.
21044	Combative Strike	180100	icon_skills.aggravatingstrike_tex	Ataque combativo com ligação elétrica	icon_crest.e_crestnextskillattackup_tex	Aumenta o dano do Leaping Strike em 35% por alguns segundos.
21045	Vortex Slash	170100	icon_skills.allroundslash_tex	Corte de Vórtice Persistente	icon_crest.e_crestactivecooltimereset_tex	30% chance de eliminar o tempo de espera.
21046	Evasive Roll	20100	icon_skills.tumbling_tex	Rolo Evasivo Restaurador	icon_crest.e_crestnextskillhpheal_tex	Restaura imediatamente 3% do HP total quando você é atingido pela Lâmina Venenosa.
21047	Death From Above	100100	icon_skills.evasionattack_tex	Teste	icon_skills.voidtrap_tex	Sem efeito
21048	Pounce	270100	icon_skills.heavybite_tex	Salto rápido	icon_crest.e_crestactiveattackspeedup_tex	Aumenta a velocidade de ataque de Pounce em 30%.
21049	Pounce	270100	icon_skills.heavybite_tex	Pulo Energético	icon_crest.e_crestpassivecooltimedown_tex	Diminui o tempo de recarga em 20%.
21050	Traverse Cut	280100	icon_skills.dualrapidpiercing_tex	Corte transversal persistente	icon_crest.e_crestpassivedurationup_tex	Aumenta a duração do efeito em 50%.
21051	Traverse Cut	280100	icon_skills.dualrapidpiercing_tex	Corte transversal brilhante	icon_crest.e_crestpassivempdown_tex	Reduz o custo de MP em 75.
21052	Blade Draw	290100	icon_skills.dualslash_tex	Saque da lâmina fortalecido	icon_crest.e_crestpassiveattackup_tex	Aumenta o dano da habilidade em 25%.
21053	Blade Draw	290100	icon_skills.dualslash_tex	Desenho de lâmina brilhante	icon_crest.e_crestpassivempdown_tex	Reduz o custo de MP em 80.
21054	Blade Draw	290100	icon_skills.dualslash_tex	Saque persistente da lâmina	icon_crest.e_crestactivecooltimereset_tex	50% chance de eliminar o tempo de espera.
21064	Rain of Blows	40100	icon_skills.pointattack_tex	Chuva de golpes com poder	icon_crest.e_crestpassiveattackup_tex	Aumenta o dano da habilidade em 25%.
21065	Death From Above	100100	icon_skills.evasionattack_tex	Morte energética vinda do alto	icon_crest.e_crestpassivecooltimedown_tex	Diminui o tempo de recarga em 30%.
21066	Rain of Blows	40100	icon_skills.pointattack_tex	Chuva de golpes restauradores	icon_crest.e_crestpassivehpheal_tex	Restaura imediatamente 0,5% HP.
21067	Evasive Roll	20100	icon_skills.tumbling_tex	Rolagem evasiva interminável	icon_crest.e_crestactivecooltimereset_tex	Reduz o custo de RE em 100.
21068	Defensive Stance	90100	icon_skills.ironwillb_tex	Postura defensiva aterrada	icon_crest.e_crestpassiveskilleffectup_tex	Aumenta a resistência em 20%.
21069	Combative Strike	180100	icon_skills.aggravatingstrike_tex	Golpe Sanativo Combativo	icon_crest.e_crestpassivehpdown_tex	Diminui o consumo de HP em 50%.
21070	Combo Attack	10100	icon_skills.comboattack_tex	Ataque Combo Espirituoso	icon_crest.e_crestpassivemprecoveryup_tex	Aumenta a reposição de MP em 35%.
