21000	Roulade	20100	icon_skills.tumbling_tex	Glyphe de rapidité	icon_crest.e_crestactiveattackspeedup_tex	30% de chances d'augmenter la vitesse d'attaque de 15 % pendant 10 secondes.
21001	Réaction	130100	icon_skills.risingattack_tex	Glyphe d'énergie	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 20%.
21002	La mort venue des cieux	100100	icon_skills.evasionattack_tex	Glyphe d'énergie	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 30%.
21003	Mutilation			Test	icon_skills.voidtrap_tex	Sans effet
21004	Attaque combinée	10100	icon_skills.comboattack_tex	Glyphe de menace	icon_crest.e_crestpassiveaggroup_tex	Augmente le taux d'agression de 5%.
21006	Pluie de coups	40100	icon_skills.pointattack_tex	Glyphe de puissance	icon_crest.e_crestpassiveattackup_tex	Les dégâts de la compétence augmentent de 25%.
21007	Frappe bondissante	120100	icon_skills.downblowattack_tex	Glyphe de puissance	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la compétence de 25%.
21008	Lame empoisonnée	110100	icon_skills.poisonblowattack_tex	Glyphe de fondation	icon_crest.e_crestpassiveskilleffectup_tex	Augmente les dégâts d'empoisonnement de 15%.
21009	Position défensive	90100	icon_skills.ironwillb_tex	Glyphe de fondation	icon_crest.e_crestpassiveskilleffectup_tex	La constitution et l'équilibre augmentent de 10%.
21010	Réaction	130100	icon_skills.risingattack_tex	Glyphe de puissance	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la compétence de 25%.
21012	Réaction	130100	icon_skills.risingattack_tex	Glyphe d'enchaînement de brillance (Frappe bondissante)	icon_crest.e_crestnextskillmpdown_tex	Réduit le coût en PM de Frappe bondissante de 75 pendant quelques secondes.
21013	Attaque combinée	10100	icon_skills.comboattack_tex	Glyphe de brillance	icon_crest.e_crestpassivemprecoveryup_tex	Augmente la régénération de PM de 35%.
21014	La mort venue des cieux	100100	icon_skills.evasionattack_tex	Glyphe de rapidité	icon_crest.e_crestactiveattackspeedup_tex	50% de chances d'augmenter la vitesse d'attaque de 15 % pendant 10 secondes.
21015	Roulade	20100	icon_skills.tumbling_tex	Glyphe d'énergie	icon_crest.e_crestactivecooltimereset_tex	Diminue de 100 le coût en détermination.
21016	Entaille Vortex	170100	icon_skills.stormcut_tex	Glyphe d'énergie	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 30%.
21017	Pluie de coups	40100	icon_skills.pointattack_tex	Glyphe de récupération	icon_crest.e_crestpassivehpheal_tex	Restaure immédiatement 0,5% PV.
21018	Frappe combattive	180100	icon_skills.aggravatingstrike_tex	Glyphe de récupération	icon_crest.e_crestpassivehpdown_tex	Réduit la consommation de PV de 50%.
21019	Entaille Vortex	170100	icon_skills.stormcut_tex	Glyphe de puissance	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la compétence de 25%.
21020	Charge taillade	160100	icon_skills.rushingslash_tex	Glyphe d'énergie	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 25%.
21021	Position offensive	80100	icon_skills.ironwilla_tex	Test	icon_skills.voidtrap_tex	Sans effet
21022	Fureur montante	190100	icon_skills.tenaciousattack_tex	Glyphe d'opportunité	icon_crest.e_crestactivecooltimereset_tex	25% de chances de supprimer le temps de recharge.
