21000	Ausweichrolle	20100	icon_skills.tumbling_tex	Glyphe der Flinkheit	icon_crest.e_crestactiveattackspeedup_tex	Erhöht die Angriffsgeschwindigkeit mit einer Wahrscheinlichkeit von 30% 10 Sek. lang um 15%.
21001	Vergeltung	130100	icon_skills.risingattack_tex	Glyphe der Energie	icon_crest.e_crestpassivecooltimedown_tex	Verringert die Abklingzeit um 20%.
21002	Tod von Oben	100100	icon_skills.evasionattack_tex	Glyphe der Energie	icon_crest.e_crestpassivecooltimedown_tex	Verringert die Abklingzeit um 30%.
21003	Verstümmeln	0		Test	icon_skills.voidtrap_tex	Kein Effekt
21004	Komboattacke	10100	icon_skills.comboattack_tex	Glyphe der Bedrohung	icon_crest.e_crestpassiveaggroup_tex	Erhöht die Aggro um 5%.
21006	Schlagregen	40100	icon_skills.pointattack_tex	Glyphe der Kraft	icon_crest.e_crestpassiveattackup_tex	Erhöht den Fertigkeitsschaden um 25%.
21007	Sprungangriff	120100	icon_skills.downblowattack_tex	Glyphe der Kraft	icon_crest.e_crestpassiveattackup_tex	Erhöht den Fertigkeitsschaden um 25%.
21009	Defensivstellung	90100	icon_skills.ironwillb_tex	Glyphe der Erdung	icon_crest.e_crestpassiveskilleffectup_tex	Erhöht Konstitution und Gleichgewicht um 10%.
21010	Vergeltung	130100	icon_skills.risingattack_tex	Glyphe der Kraft	icon_crest.e_crestpassiveattackup_tex	Erhöht den Fertigkeitsschaden um 25%.
21012	Vergeltung	130100	icon_skills.risingattack_tex	Kettenglyphe der Brillanz [Sprungangriff]	icon_crest.e_crestnextskillmpdown_tex	Verringert den MP-Verbrauch für Sprungangriff für einige Sekunden um 75.
21013	Komboattacke	10100	icon_skills.comboattack_tex	Glyphe der Brillanz	icon_crest.e_crestpassivemprecoveryup_tex	Erhöht die MP-Regeneration um 35%.
21014	Tod von Oben	100100	icon_skills.evasionattack_tex	Glyphe der Flinkheit	icon_crest.e_crestactiveattackspeedup_tex	Erhöht die Angriffsgeschwindigkeit mit einer Wahrscheinlichkeit von 50% 10 Sek. lang um 15%.
21015	Ausweichrolle	20100	icon_skills.tumbling_tex	Glyphe der Energie	icon_crest.e_crestactivecooltimereset_tex	Verringert den Verbrauch der Entschlossenheit um 100.
21016	Wirbelhieb	170100	icon_skills.stormcut_tex	Glyphe der Energie	icon_crest.e_crestpassivecooltimedown_tex	Verringert die Abklingzeit um 30%.
