21000	Evasive Roll	20100	icon_skills.tumbling_tex	Swift Evasive Roll	icon_crest.e_crestactiveattackspeedup_tex	30% chance to increase attack speed by 15% for 10 seconds.
21001	Retaliate	130100	icon_skills.risingattack_tex	Energetic Retaliate	icon_crest.e_crestpassivecooltimedown_tex	Decreases cooldown by 20%.
21002	Death From Above	100100	icon_skills.evasionattack_tex	Energetic Death From Above	icon_crest.e_crestpassivecooltimedown_tex	Decreases cooldown by 30%.
21003	Mangle	140100	icon_skills.aimingankle_tex	Test	icon_skills.voidtrap_tex	No Effect
21004	Combo Attack	10100	icon_skills.comboattack_tex	Threatening Combo Attack	icon_crest.e_crestpassiveaggroup_tex	Provides 5% additional aggro.
21005	Torrent of Blows	30100	icon_skills.nanmu_tex	Threatening Torrent of Blows	icon_crest.e_crestpassiveaggroup_tex	Provides 20% additional aggro.
21006	Rain of Blows	40100	icon_skills.pointattack_tex	Empowered Rain of Blows	icon_crest.e_crestpassiveattackup_tex	Increases skill damage by 25% and improves the skill's edge generation.
21007	Leaping Strike	120100	icon_skills.downblowattack_tex	Empowered Leaping Strike	icon_crest.e_crestpassiveattackup_tex	Increases skill damage by 25%.
21008	Poison Blade	110100	icon_skills.poisonblowattack_tex	Virulent Poison Blade	icon_crest.e_crestpassiveskilleffectup_tex	Increases poison damage by 15%.
21009	Defensive Stance	90100	icon_skills.ironwillb_tex	Grounded Defensive Stance	icon_crest.e_crestpassiveskilleffectup_tex	Increases endurance by 20%.
21010	Retaliate	130100	icon_skills.risingattack_tex	Empowered Retaliate	icon_crest.e_crestpassiveattackup_tex	Increases skill damage by 25%.
21011	Torrent of Blows	30100	icon_skills.nanmu_tex	Influential Torrent of Blows	icon_crest.e_crestnextskillmpdown_tex	Reduces MP cost for the next chain skill by 88: Rain of Blows.
21012	Retaliate	130100	icon_skills.risingattack_tex	Influential Retaliate	icon_crest.e_crestnextskillmpdown_tex	Reduces MP cost for the next chain skill by 75: Leaping Strike.
21013	Combo Attack	10100	icon_skills.comboattack_tex	Spirited Combo Attack	icon_crest.e_crestpassivemprecoveryup_tex	Increases MP regeneration by 35%.
21014	Death From Above	100100	icon_skills.evasionattack_tex	Swift Death From Above	icon_crest.e_crestactiveattackspeedup_tex	50% chance to increase attack speed by 15% for 10 seconds.
21015	Evasive Roll	20100	icon_skills.tumbling_tex	Unending Evasive Roll	icon_crest.e_crestactivecooltimereset_tex	Reduces RE cost by 100.
21016	Battle Cry	50100	icon_skills.thunderingroar_tex	Energetic Battle Cry	icon_crest.e_crestpassivecooltimedown_tex	Decreases cooldown by 20%.
21017	Rain of Blows	40100	icon_skills.pointattack_tex	Restorative Rain of Blows	icon_crest.e_crestpassivehpheal_tex	Immediately restores 0,5% HP.
21018	Combative Strike	180100	icon_skills.aggravatingstrike_tex	Sanative Combative Strike	icon_crest.e_crestpassivehpdown_tex	Decreases HP consumption by 50%.
21019	Vortex Slash	170100	icon_skills.allroundslash_tex	Empowered Vortex Slash	icon_crest.e_crestpassiveattackup_tex	Increases skill damage by 25%.
21020	Charging Slash	160100	icon_skills.rushingslash_tex	Energetic Charging Slash	icon_crest.e_crestpassivecooltimedown_tex	Decreases cooldown by 25%.
