21000	Ausweichrolle	20100	icon_skills.tumbling_tex	Flinke Ausweichrolle	icon_crest.e_crestactiveattackspeedup_tex	Erhöht die Angriffsgeschwindigkeit mit einer Wahrscheinlichkeit von 30% 10 Sek. lang um 15%.
21001	Vergeltung	130100	icon_skills.risingattack_tex	Energetische Vergeltung	icon_crest.e_crestpassivecooltimedown_tex	Verringert die Abklingzeit um 20%.
21002	Tod von Oben	100100	icon_skills.evasionattack_tex	Energetischer Tod von Oben	icon_crest.e_crestpassivecooltimedown_tex	Verringert die Abklingzeit um 30%.
21003	Verstümmeln	140100	icon_skills.aimingankle_tex	Test	icon_skills.voidtrap_tex	Kein Effekt
21004	Komboattacke	10100	icon_skills.comboattack_tex	Bedrohliche Komboattacke	icon_crest.e_crestpassiveaggroup_tex	Erhöht die Aggro um 5%.
21005	Wirbelschlag	30100	icon_skills.nanmu_tex	Bedrohlicher Wirbelschlag	icon_crest.e_crestpassiveaggroup_tex	Erhöht die Aggro um 20%.
21006	Schlagregen	40100	icon_skills.pointattack_tex	Kraftvoller Schlagregen	icon_crest.e_crestpassiveattackup_tex	Erhöht den Fertigkeitsschaden um 25% und erhöht den durch die Fertigkeit bewirkten Furor.
21007	Sprungangriff	120100	icon_skills.downblowattack_tex	Kraftvoller Sprungangriff	icon_crest.e_crestpassiveattackup_tex	Erhöht den Fertigkeitsschaden um 25%.
21008	Giftklinge	110100	icon_skills.poisonblowattack_tex	Virulente Giftklinge	icon_crest.e_crestpassiveskilleffectup_tex	Erhöht den Giftschaden um 15%.
21009	Defensivstellung	90100	icon_skills.ironwillb_tex	Geerdete Defensivstellung	icon_crest.e_crestpassiveskilleffectup_tex	Erhöht die Konstitution um 20%.
21010	Vergeltung	130100	icon_skills.risingattack_tex	Kraftvolle Vergeltung	icon_crest.e_crestpassiveattackup_tex	Erhöht den Fertigkeitsschaden um 25%.
21011	Wirbelschlag	30100	icon_skills.nanmu_tex	Einflussreicher Wirbelschlag	icon_crest.e_crestnextskillmpdown_tex	Verringert den MP-Verbrauch für die folgende Kettenfertigkeit um 88: Schlagregen.
21012	Vergeltung	130100	icon_skills.risingattack_tex	Einflussreiche Vergeltung	icon_crest.e_crestnextskillmpdown_tex	Verringert den MP-Verbrauch für die folgende Kettenfertigkeit um 75: Sprungangriff.
21013	Komboattacke	10100	icon_skills.comboattack_tex	Geistvolle Komboattacke	icon_crest.e_crestpassivemprecoveryup_tex	Erhöht die MP-Regeneration um 35%.
21014	Tod von Oben	100100	icon_skills.evasionattack_tex	Flinker Tod von Oben	icon_crest.e_crestactiveattackspeedup_tex	Erhöht die Angriffsgeschwindigkeit mit einer Wahrscheinlichkeit von 50% 10 Sek. lang um 15%.
