21000	回避	20100	icon_skills.tumbling_tex	迅速の紋章	icon_crest.crestactiveattackspeedup_tex	30%の確率で攻撃速度が15％上昇（10秒間持続）
21001	反撃	130100	icon_skills.risingattack_tex	集中の紋章	icon_crest.crestpassivecooltimedown_tex	クールタイムを20%短縮
21002	エバジョンアタック	100100	icon_skills.evasionattack_tex	集中の紋章	icon_crest.crestpassivecooltimedown_tex	クールタイムを30%短縮
21003	アンクルスラッシュ	140100	icon_skills.aimingankle_tex	テスト	icon_skills.voidtrap_tex	効果無し
21004	連撃	10100	icon_skills.comboattack_tex	野獣の紋章	icon_crest.crestpassiveaggroup_tex	敵対値が5%追加上昇
21005	トレントブロー	30100	icon_skills.nanmu_tex	野獣の紋章	icon_crest.crestpassiveaggroup_tex	敵対値が20%追加上昇
21006	ランブロー	40100	icon_skills.pointattack_tex	闘志の紋章	icon_crest.crestpassiveattackup_tex	スキル威力が25%増加
21007	跳躍斬り	120100	icon_skills.downblowattack_tex	闘志の紋章	icon_crest.crestpassiveattackup_tex	スキル威力が25%増加
21008	ポイズンストライク	110100	icon_skills.poisonblowattack_tex	決意の紋章	icon_crest.crestpassiveskilleffectup_tex	猛毒による持続ダメージが15%増加
21009	ディフェンススタンス	90100	icon_skills.ironwillb_tex	決意の紋章	icon_crest.crestpassiveskilleffectup_tex	耐久力がさらに20%上昇
21010	反撃	130100	icon_skills.risingattack_tex	闘志の紋章	icon_crest.crestpassiveattackup_tex	スキル威力が25%増加
21011	トレントブロー	30100	icon_skills.nanmu_tex	連精の紋章	icon_crest.crestnextskillmpdown_tex	連係して「ランブロー」使用時、消費MPが88減少
21012	反撃	130100	icon_skills.risingattack_tex	連精の紋章	icon_crest.crestnextskillmpdown_tex	連係して「跳躍斬り」使用時、消費MPが75減少
21013	連撃	10100	icon_skills.comboattack_tex	精神の紋章	icon_crest.crestpassivemprecoveryup_tex	命中時のMP回復量が35%増加
21014	エバジョンアタック	100100	icon_skills.evasionattack_tex	迅速の紋章	icon_crest.crestactiveattackspeedup_tex	50%の確率で攻撃速度が15％上昇（10秒間持続）
21015	回避	20100	icon_skills.tumbling_tex	集中の紋章	icon_crest.crestactivecooltimereset_tex	消費STが100減少
21016	バトルクライ	50100	icon_skills.thunderingroar_tex	集中の紋章	icon_crest.crestpassivecooltimedown_tex	クールタイムを20%短縮
21017	ランブロー	40100	icon_skills.pointattack_tex	忍耐の紋章	icon_crest.crestpassivehpheal_tex	打撃成功時、全HPの0,5%が即時に回復
21018	コンバットストライク	180100	icon_skills.aggravatingstrike_tex	忍耐の紋章	icon_crest.crestpassivehpdown_tex	消費HPが50%減少
21019	ウィンドスラッシュ	170100	icon_skills.allroundslash_tex	闘志の紋章	icon_crest.crestpassiveattackup_tex	スキル威力が25%増加
21020	ダッシュスラッシュ	160100	icon_skills.rushingslash_tex	集中の紋章	icon_crest.crestpassivecooltimedown_tex	クールタイムを25%短縮
21021	アサルトスタンス			テスト	icon_skills.voidtrap_tex	効果無し
21022	スピリットコンボ	190100	icon_skills.tenaciousattack_tex	集中の紋章	icon_crest.crestactivecooltimereset_tex	25%の確率でクールタイムが初期化
21023	シャドウツイン	240100	icon_skills.decoy_tex	集中の紋章	icon_crest.crestpassivecooltimedown_tex	クールタイムを20%短縮
21024	回り込み	220100	icon_skills.backattack_tex	時の紋章	icon_crest.crestpassivedurationup_tex	効果の持続時間が50%延長
21025	デッドリーウィル	200100	icon_skills.deadlywill_tex	集中の紋章	icon_crest.crestpassivecooltimedown_tex	クールタイムを25%短縮
21026	反撃反り			闘志の紋章	icon_crest.crestpassiveattackup_tex	スキル威力が25%増加
21027	ストロングスラッシュ	210100	icon_skills.hardslash_tex	精神の紋章	icon_crest.crestpassivempdown_tex	消費MPが88減少
21028	コンバットストライク	180100	icon_skills.aggravatingstrike_tex	連闘の紋章	icon_crest.crestnextskillattackup_tex	連係して「スピリットコンボ」使用時、スキル威力が20％増加
21029	ダッシュスラッシュ	160100	icon_skills.rushingslash_tex	連精の紋章	icon_crest.crestnextskillmpdown_tex	連係して「ポイズンストライク」使用時、消費MPが50減少
21030	ストロングスラッシュ	210100	icon_skills.hardslash_tex	連精の紋章	icon_crest.crestnextskillmpdown_tex	連係して「ランブロー」使用時、消費MPが88減少
21031	ストロングスラッシュ	210100	icon_skills.hardslash_tex	連闘の紋章	icon_crest.crestnextskillattackup_tex	連係して「ランブロー」使用時、スキル威力が20％増加
21032	ストロングスラッシュ	210100	icon_skills.hardslash_tex	集中の紋章	icon_crest.crestactivecooltimereset_tex	クールタイムを25%短縮
21033	スピリットコンボ	190100	icon_skills.tenaciousattack_tex	減速の紋章	icon_crest.crestactiveattackspeeddown_tex	10%の確率で攻撃速度を15％減少（7秒間持続）
