21000	긴급 회피	Icon_Skills.tumbling_Tex	신속의 문장	Icon_Crest.E_crestactiveattackspeedup_Tex	30% 확률로 10초 동안 공격 속도 15% 증가 효과 발생
21001	기상 공격	Icon_Skills.risingattack_Tex	집중의 문장	Icon_Crest.E_crestpassivecooltimedown_Tex	재사용 시간 20% 감소
21002	회피 공격	Icon_Skills.evasionattack_Tex	집중의 문장	Icon_Crest.E_crestpassivecooltimedown_Tex	재사용 시간 30% 감소
21003	발목 노리기	Icon_Skills.aimingankle_Tex	테스트	Icon_Skills.voidtrap_Tex	효과 없음
21004	연속 공격	Icon_Skills.comboattack_Tex	야수의 문장	Icon_Crest.E_crestpassiveaggroup_Tex	적대치 5% 추가 획득
21005	도발 난무	Icon_Skills.nanmu_Tex	야수의 문장	Icon_Crest.E_crestpassiveaggroup_Tex	적대치 20% 추가 획득
21006	몰아치기	Icon_Skills.pointattack_Tex	투지의 문장	Icon_Crest.E_crestpassiveattackup_Tex	스킬 위력 25% 증가
21007	내려찍기	Icon_Skills.downblowattack_Tex	투지의 문장	Icon_Crest.E_crestpassiveattackup_Tex	스킬 위력 25% 증가
21008	맹독의 일격	Icon_Skills.poisonblowattack_Tex	결의의 문장	Icon_Crest.E_crestpassiveskilleffectup_Tex	맹독 지속 피해 15% 향상
21009	강철의 결의	Icon_Skills.ironwillB_Tex	결의의 문장	Icon_Crest.E_crestpassiveskilleffectup_Tex	맷집 증가 효과 10% 향상
21010	기상 공격	Icon_Skills.risingattack_Tex	투지의 문장	Icon_Crest.E_crestpassiveattackup_Tex	스킬 위력 25% 증가
21011	도발 난무	Icon_Skills.nanmu_Tex	연계 정신의 문장 [몰아치기]	Icon_Crest.E_crestnextskillmpdown_Tex	연계 스킬로 몰아치기 사용 시 소모 MP 88 감소
21012	기상 공격	Icon_Skills.risingattack_Tex	연계 정신의 문장 [내려찍기]	Icon_Crest.E_crestnextskillmpdown_Tex	연계 스킬로 내려찍기 사용 시 소모 MP 75 감소
21013	연속 공격	Icon_Skills.comboattack_Tex	정신의 문장	Icon_Crest.E_crestpassivemprecoveryup_Tex	적중 시 MP 회복량 35% 증가
21014	회피 공격	Icon_Skills.evasionattack_Tex	신속의 문장	Icon_Crest.E_crestactiveattackspeedup_Tex	50% 확률로 10초 동안 공격 속도 15% 증가 효과 발생
21015	긴급 회피	Icon_Skills.tumbling_Tex	집중의 문장	Icon_Crest.E_crestactivecooltimereset_Tex	소모 ST 100 감소
21016	충격의 외침	Icon_Skills.thunderingroar_Tex	집중의 문장	Icon_Crest.E_crestpassivecooltimedown_Tex	재사용 시간 20% 감소
21017	몰아치기	Icon_Skills.pointattack_Tex	근성의 문장	Icon_Crest.E_crestpassivehpheal_Tex	타격 성공 시 마다 전체 HP 기준 0.5%의 HP 즉시 회복
21018	투지의 일격	Icon_Skills.aggravatingstrike_Tex	근성의 문장	Icon_Crest.E_crestpassivehpdown_Tex	소모 HP 50% 감소
21019	회오리 베기	Icon_Skills.allroundslash_Tex	투지의 문장	Icon_Crest.E_crestpassiveattackup_Tex	스킬 위력 25% 증가
21020	돌진 베기	Icon_Skills.rushingslash_Tex	집중의 문장	Icon_Crest.E_crestpassivecooltimedown_Tex	재사용 시간 25% 감소
21021	위협의 결의		테스트	Icon_Skills.voidtrap_Tex	효과 없음
21022	근성 연타	Icon_Skills.tenaciousattack_Tex	집중의 문장	Icon_Crest.E_crestactivecooltimereset_Tex	25% 확률로 재사용 시간 초기화
21023	그림자 분신	Icon_Skills.decoy_Tex	집중의 문장	Icon_Crest.E_crestpassivecooltimedown_Tex	재사용 시간 20% 감소
21024	뒤잡기	Icon_Skills.backattack_Tex	시간의 문장	Icon_Crest.E_crestpassivedurationup_Tex	효과 지속 시간 50% 향상
21025	필살의 의지	Icon_Skills.deadlywill_Tex	집중의 문장	Icon_Crest.E_crestpassivecooltimedown_Tex	재사용 시간 25% 감소
21026	반격 돌리기		투지의 문장	Icon_Crest.E_crestpassiveattackup_Tex	스킬 위력 25% 증가
21027	강격 베기	Icon_Skills.hardslash_Tex	정신의 문장	Icon_Crest.E_crestpassivempdown_Tex	소모 MP 88 감소
21028	투지의 일격	Icon_Skills.aggravatingstrike_Tex	연계 투지의 문장 [근성 연타]	Icon_Crest.E_crestnextskillattackup_Tex	연계 스킬로 근성 연타 사용 시 스킬 위력 20% 증가
21029	돌진 베기	Icon_Skills.rushingslash_Tex	연계 정신의 문장 [맹독의 일격]	Icon_Crest.E_crestnextskillmpdown_Tex	연계 스킬로 맹독의 일격 사용 시 소모 MP 50 감소
21030	강격 베기	Icon_Skills.hardslash_Tex	연계 정신의 문장 [몰아치기]	Icon_Crest.E_crestnextskillmpdown_Tex	연계 스킬로 몰아치기 사용 시 소모 MP 88 감소
21031	강격 베기	Icon_Skills.hardslash_Tex	연계 투지의 문장 [몰아치기]	Icon_Crest.E_crestnextskillattackup_Tex	연계 스킬로 몰아치기 사용 시 스킬 위력 20% 증가
21032	강격 베기	Icon_Skills.hardslash_Tex	집중의 문장	Icon_Crest.E_crestactivecooltimereset_Tex	재사용 시간 25% 감소
21033	근성 연타	Icon_Skills.tenaciousattack_Tex	감속의 문장	Icon_Crest.E_crestactiveattackspeeddown_Tex	10% 확률로 7초 동안 공격 속도 15% 감소 효과 발생
21034	도발난무		나태의 문장	Icon_Crest.E_crestactivespeeddown_Tex	25% 확률로 대상에게 4초 동안 이동 불가 효과 발생
21035	돌진 베기	Icon_Skills.rushingslash_Tex	연계 투지의 문장 [투지의 일격]	Icon_Crest.E_crestnextskillattackup_Tex	연계 스킬로 투지의 일격 사용 시 스킬 위력 20% 증가
21036	뒤잡기	Icon_Skills.backattack_Tex	집중의 문장	Icon_Crest.E_crestpassivecooltimedown_Tex	재사용 시간 25% 감소
21037	반격 뒤돌리기	Icon_Skills.reversalturningattack_Tex	시간의 문장	Icon_Crest.E_crestpassivedurationup_Tex	효과 지속 시간 50% 향상
21038	반격 뒤돌리기	Icon_Skills.reversalturningattack_Tex	집중의 문장	Icon_Crest.E_crestactivecooltimereset_Tex	재사용 시간 20% 감소
21039	연속 공격	Icon_Skills.comboattack_Tex	기절의 문장	Icon_Crest.E_crestactivestun_Tex	5% 확률로 대상에게 2초 동안 기절 효과 발생
21040	충격의 외침	Icon_Skills.thunderingroar_Tex	신속의 문장	Icon_Crest.E_crestpassiveskillspeedup_Tex	시전 속도 50% 상승
21041	충격의 외침	Icon_Skills.thunderingroar_Tex	관통의 문장	Icon_Crest.E_crestpassivethorns_Tex	효과 적용 확률 10% 증가
21042	충격의 외침	Icon_Skills.thunderingroar_Tex	야수의 문장	Icon_Crest.E_crestpassiveaggroup_Tex	적대치 100% 추가 획득
21043	투지의 일격	Icon_Skills.aggravatingstrike_Tex	시간의 문장	Icon_Crest.E_crestpassivedurationup_Tex	효과 지속 시간 50% 향상
21044	투지의 일격	Icon_Skills.aggravatingstrike_Tex	연계 투지의 문장 [내려찍기]	Icon_Crest.E_crestnextskillattackup_Tex	연계 스킬로 내려찍기 사용 시 스킬 위력 35% 증가
21045	회오리 베기	Icon_Skills.allroundslash_Tex	집중의 문장	Icon_Crest.E_crestactivecooltimereset_Tex	30% 확률로 재사용 시간 초기화
21046	긴급 회피	Icon_Skills.tumbling_Tex	연계 근성의 문장 [맹독의 일격]	Icon_Crest.E_crestnextskillhpheal_Tex	연계 스킬로 맹독의 일격 적중 시 전체 HP를 기준으로 3%의 HP 즉시 회복
21047	회피 공격	Icon_Skills.evasionattack_Tex	테스트	Icon_Skills.voidtrap_Tex	효과 없음
21048	물어뜯기		신속의 문장	Icon_Crest.E_crestactiveattackspeedup_Tex	공격 속도 30% 증가
21049	물어뜯기		집중의 문장	Icon_Crest.E_crestpassivecooltimedown_Tex	재사용 시간 20% 감소
21050	무쌍난무_찌르기		시간의 문장	Icon_Crest.E_crestpassivedurationup_Tex	효과 지속 시간 50% 향상
21051	무쌍난무_찌르기		정신의 문장	Icon_Crest.E_crestpassivempdown_Tex	소모 MP 75 감소
21052	무쌍난무_가르기		투지의 문장	Icon_Crest.E_crestpassiveattackup_Tex	스킬 위력 25% 증가
21053	무쌍난무_가르기		정신의 문장	Icon_Crest.E_crestpassivempdown_Tex	소모 MP 80 감소
21054	무쌍난무_가르기		집중의 문장	Icon_Crest.E_crestactivecooltimereset_Tex	50% 확률로 재사용 시간 초기화
21064	몰아치기	Icon_Skills.pointattack_Tex	투지의 문장	Icon_Crest.E_crestpassiveattackup_Tex	스킬 위력 25% 증가
