21000	Уклонение	20100	icon_skills.tumbling_tex	Быстрое уклонение	icon_crest.e_crestactiveattackspeedup_tex	30% вероятность на 10 секунд повысить скорость атаки на 15%.
21001	Ответный удар	130100	icon_skills.risingattack_tex	Стремительный ответный удар	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 20%.
21002	Смерть с небес	100100	icon_skills.evasionattack_tex	Неизбежная смерть с небес	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 30%.
21003	Инстинкт охотника	140100	icon_skills.aimingankle_tex	Тест	icon_skills.voidtrap_tex	Нет эффекта
21004	Комбо-атака	10100	icon_skills.comboattack_tex	Угрожающая комбо-атака	icon_crest.e_crestpassiveaggroup_tex	Дает 5% дополнительной агрессии.
21005	Шквал ударов	30100	icon_skills.nanmu_tex	Угрожающий шквал ударов	icon_crest.e_crestpassiveaggroup_tex	Дает 20% дополнительной агрессии.
21006	Град ударов	40100	icon_skills.pointattack_tex	Усиленный град ударов	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25% и увеличивает получение преимущества от него.
21007	Удар в прыжке	120100	icon_skills.downblowattack_tex	Усиленный удар в прыжке	icon_crest.e_crestpassiveattackup_tex	+25% к наносимому умением урону.
21008	Отравленный клинок	110100	icon_skills.poisonblowattack_tex	Опасный отравленный клинок	icon_crest.e_crestpassiveskilleffectup_tex	Увеличивает урон от яда на 15%.
21009	Защитная стойка	90100	icon_skills.ironwillb_tex	Несокрушимая защитная стойка	icon_crest.e_crestpassiveskilleffectup_tex	Увеличивает выносливость на 10%.
21010	Ответный удар	130100	icon_skills.risingattack_tex	Усиленный ответный удар	icon_crest.e_crestpassiveattackup_tex	+25% к наносимому умением урону.
21011	Шквал ударов	30100	icon_skills.nanmu_tex	Весомый шквал ударов	icon_crest.e_crestnextskillmpdown_tex	На 88 MP снижает стоимость умения "Град ударов" в течение нескольких секунд.
21012	Ответный удар	130100	icon_skills.risingattack_tex	Весомый ответный удар	icon_crest.e_crestnextskillmpdown_tex	На 75 MP снижает стоимость умения "Удар в прыжке" в течение нескольких секунд.
21013	Комбо-атака	10100	icon_skills.comboattack_tex	Энергичная комбо-атака	icon_crest.e_crestpassivemprecoveryup_tex	При поражении цели увеличивает количество восстанавливаемых МР на 35%.
21014	Смерть с небес	100100	icon_skills.evasionattack_tex	Быстрая смерть с небес	icon_crest.e_crestactiveattackspeedup_tex	50% вероятность на 10 секунд повысить скорость атаки на 15%.
21015	Уклонение	20100	icon_skills.tumbling_tex	Нескончаемое уклонение	icon_crest.e_crestactivecooltimereset_tex	Снижает расход решимости на 100 единиц.
21016	Боевой клич	50100	icon_skills.thunderingroar_tex	Стремительный боевой клич	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 20%.
21017	Град ударов	40100	icon_skills.pointattack_tex	Восстанавливающий град ударов	icon_crest.e_crestpassivehpheal_tex	Мгновенно восстанавливает 0.5% HP.
21018	Удар воина	180100	icon_skills.aggravatingstrike_tex	Живительный удар воина	icon_crest.e_crestpassivehpdown_tex	Снижает расход HP на 50%.
21019	Круговой удар	170100	icon_skills.allroundslash_tex	Усиленный круговой удар	icon_crest.e_crestpassiveattackup_tex	+25% к наносимому умением урону.
21020	Разъяряющий порез	160100	icon_skills.rushingslash_tex	Стремительный разъяряющий порез	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 25%.
21021	Штурмовая стойка	80100	icon_skills.ironwilla_tex	Тест	icon_skills.voidtrap_tex	Нет эффекта
21022	Нарастающая ярость	190100	icon_skills.tenaciousattack_tex	Неутомимая нарастающая ярость	icon_crest.e_crestactivecooltimereset_tex	25% вероятность сбросить время перезарядки умения.
21023	Призрачный воин	240100	icon_skills.decoy_tex	Стремительный призрачный воин	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 20%.
21024	Удар в спину	220100	icon_skills.backattack_tex	Калечащий удар в спину	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
21025	Смертельная игра	200100	icon_skills.deadlywill_tex	Стремительная смертельная игра	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 25%.
21026	Ошеломление	230100	icon_skills.reversalturningattack_tex	Усиленное ошеломление	icon_crest.e_crestpassiveattackup_tex	+25% к наносимому умением урону.
21027	Каскад оглушений	210100	icon_skills.hardslash_tex	Блистательный каскад оглушений	icon_crest.e_crestpassivempdown_tex	Снижает потребление MP на 88.
21028	Удар воина	180100	icon_skills.aggravatingstrike_tex	Лихой удар воина	icon_crest.e_crestnextskillattackup_tex	Повышает урон умения "Нарастающая ярость" на 20% на несколько секунд.
21029	Разъяряющий порез	160100	icon_skills.rushingslash_tex	Весомый разъяряющий порез	icon_crest.e_crestnextskillmpdown_tex	На 50 MP снижает стоимость умения "Отравленный клинок" в течение нескольких секунд.
21030	Каскад оглушений	210100	icon_skills.hardslash_tex	Весомый каскад оглушений	icon_crest.e_crestnextskillmpdown_tex	На 88 MP снижает стоимость умения "Град ударов" в течение нескольких секунд.
21031	Каскад оглушений	210100	icon_skills.hardslash_tex	Лихой каскад оглушений	icon_crest.e_crestnextskillattackup_tex	На 20% увеличивает урон умения "Град ударов" в течение нескольких секунд.
21032	Каскад оглушений	210100	icon_skills.hardslash_tex	Стремительный каскад оглушений	icon_crest.e_crestactivecooltimereset_tex	Снижает время перезарядки умения на 25%.
21033	Нарастающая ярость	190100	icon_skills.tenaciousattack_tex	Ошеломляющая нарастающая ярость	icon_crest.e_crestactiveattackspeeddown_tex	10% вероятность на 7 секунд понизить скорость атаки противника на 15%.
21034	Шквал ударов	30100	icon_skills.nanmu_tex	Сковывающий шквал ударов	icon_crest.e_crestactivespeeddown_tex	25% вероятность обездвижить цель на 4 секунды.
21035	Разъяряющий порез	160100	icon_skills.rushingslash_tex	Лихой разъяряющий порез	icon_crest.e_crestnextskillattackup_tex	Повышает урон умения "Удар воина" на 20% на несколько секунд.
21036	Удар в спину	220100	icon_skills.backattack_tex	Стремительный удар в спину	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 25%.
21037	Ошеломление	230100	icon_skills.reversalturningattack_tex	Задерживающее ошеломление	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
21038	Ошеломление	230100	icon_skills.reversalturningattack_tex	Стремительное ошеломление	icon_crest.e_crestactivecooltimereset_tex	Снижает время перезарядки умения на 20%.
21039	Комбо-атака	10100	icon_skills.comboattack_tex	Иссушающая комбо-атака	icon_crest.e_crestactivestun_tex	5% вероятность оглушить цель на 2 секунды.
21040	Боевой клич	50100	icon_skills.thunderingroar_tex	Ускоренный боевой клич	icon_crest.e_crestpassiveskillspeedup_tex	Увеличивает скорость использования умения на 50%.
21041	Боевой клич	50100	icon_skills.thunderingroar_tex	Звонкий боевой клич	icon_crest.e_crestpassivethorns_tex	Повышает вероятность срабатывания эффекта на 10%.
21042	Боевой клич	50100	icon_skills.thunderingroar_tex	Угрожающий боевой клич	icon_crest.e_crestpassiveaggroup_tex	Дает 100% дополнительной агрессии.
21043	Удар воина	180100	icon_skills.aggravatingstrike_tex	Задерживающий удар воина	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
21044	Удар воина	180100	icon_skills.aggravatingstrike_tex	Лихой удар воина	icon_crest.e_crestnextskillattackup_tex	Повышает урон умения "Удар в прыжке" на 35% на несколько секунд.
21045	Круговой удар	170100	icon_skills.allroundslash_tex	Неутомимый круговой удар	icon_crest.e_crestactivecooltimereset_tex	30% вероятность сбросить время перезарядки умения.
21046	Уклонение	20100	icon_skills.tumbling_tex	Восстанавливающее уклонение	icon_crest.e_crestnextskillhpheal_tex	Мгновенно восстанавливает 3% от общего количества HP при использовании умения "Отравленный клинок".
21047	Смерть с небес	100100	icon_skills.evasionattack_tex	Тест	icon_skills.voidtrap_tex	Нет эффекта
21048	Наскок	270100	icon_skills.heavybite_tex	Быстрый наскок	icon_crest.e_crestactiveattackspeedup_tex	Увеличивает скорость атаки умения "Наскок" на 30%.
21049	Наскок	270100	icon_skills.heavybite_tex	Стремительный наскок	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 20%.
21050	Прорезающий выпад	280100	icon_skills.dualrapidpiercing_tex	Задерживающий прорезающий выпад	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
21051	Прорезающий выпад	280100	icon_skills.dualrapidpiercing_tex	Блистательный прорезающий выпад	icon_crest.e_crestpassivempdown_tex	Снижает потребление MP на 75.
21052	Рваная рана	290100	icon_skills.dualslash_tex	Усиленная рваная рана	icon_crest.e_crestpassiveattackup_tex	Увеличивает урон умения на 25% и увеличивает получение преимущества от него.
21053	Рваная рана	290100	icon_skills.dualslash_tex	Блистательная рваная рана	icon_crest.e_crestpassivempdown_tex	Снижает потребление MP на 80.
21054	Рваная рана	290100	icon_skills.dualslash_tex	Неутомимая рваная рана	icon_crest.e_crestactivecooltimereset_tex	50% вероятность сбросить время перезарядки умения.
21064	Град ударов	40100	icon_skills.pointattack_tex	Усиленный град ударов	icon_crest.e_crestpassiveattackup_tex	+25% к наносимому умением урону.
21065	Смерть с небес	100100	icon_skills.evasionattack_tex	Неизбежная смерть с небес	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 30%.
21066	Град ударов	40100	icon_skills.pointattack_tex	Восстанавливающий град ударов	icon_crest.e_crestpassivehpheal_tex	Мгновенно восстанавливает 0.5% HP.
21067	Уклонение	20100	icon_skills.tumbling_tex	Нескончаемое уклонение	icon_crest.e_crestactivecooltimereset_tex	Снижает расход решимости на 100 единиц.
21068	Защитная стойка	90100	icon_skills.ironwillb_tex	Несокрушимая защитная стойка	icon_crest.e_crestpassiveskilleffectup_tex	Увеличивает выносливость на 10%.
21069	Удар воина	180100	icon_skills.aggravatingstrike_tex	Живительный удар воина	icon_crest.e_crestpassivehpdown_tex	Снижает расход HP на 50%.
21070	Комбо-атака	10100	icon_skills.comboattack_tex	Энергичная комбо-атака	icon_crest.e_crestpassivemprecoveryup_tex	При поражении цели увеличивает количество восстанавливаемых МР на 35%.
21071	Призрачный воин	240100	icon_skills.decoy_tex	Стремительный призрачный воин	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 25%.
21072	Удар воина	180100	icon_skills.aggravatingstrike_tex	Лихой удар воина	icon_crest.e_crestnextskillattackup_tex	Повышает урон умения "Удар в прыжке" на 45% на несколько секунд.
21073	Разъяряющий порез	160100	icon_skills.rushingslash_tex	Лихой разъяряющий порез	icon_crest.e_crestnextskillattackup_tex	Повышает урон умения "Удар воина" на 50% на несколько секунд.
21074	Смерть с небес	100100	icon_skills.evasionattack_tex	Неотвратимая смерть с небес	icon_crest.e_crestactivedefenceup_tex	Увеличивает выносливость на 25 на 8 секунд.
21075	Удар в спину	220100	icon_skills.backattack_tex	Выгодный удар в спину	icon_crest.e_crestactiveattackspeedup_tex	Повышает преимущество воина на 1.
21076	Каскад оглушений	210100	icon_skills.hardslash_tex	Усиленный каскад оглушений	icon_crest.e_crestpassiveattackup_tex	+25% к наносимому умением урону.
21077	Каскад оглушений	210100	icon_skills.hardslash_tex	Задерживающий каскад оглушений	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 25%.
21078	Ошеломление	230100	icon_skills.reversalturningattack_tex	Лихое ошеломление	icon_crest.e_crestnextskillattackup_tex	Повышает урон умения "Каскад оглушений" на 10% на несколько секунд.
21079	Коса	300100	icon_skills.raker_tex	Режущая коса	icon_crest.e_crestpassivecriticalup_tex	Удваивает вероятность нанесения критического удара.
21080	Коса	300100	icon_skills.raker_tex	Мощная коса	icon_crest.e_crestpassiveattackup_tex	Повышает дополнительный урон от преимущества воина на 25%.
21081	Удар в спину	220100	icon_skills.backattack_tex	Задерживающий удар в спину	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
21082	Наскок	270100	icon_skills.heavybite_tex	Быстрый наскок	icon_crest.e_crestactiveattackspeedup_tex	Увеличивает скорость атаки умения "Наскок" на 30%.
21083	Отравленный клинок	110100	icon_skills.poisonblowattack_tex	Накапливающий отравленный клинок	icon_crest.e_crestactiveattackspeedup_tex	Эффект умения "Отравленный клинок" суммируется до двух раз.
21084	Рваная рана	290100	icon_skills.dualslash_tex	Выгодная рваная рана	icon_crest.e_crestactiveattackspeedup_tex	Повышает преимущество воина на 1.
21085	Удар жнеца	310100	icon_skills.rupture_tex	Усиленный удар жнеца	icon_crest.e_crestpassiveattackup_tex	+25% к наносимому умением урону.
21086	Скрещенные мечи	320100	icon_skills.twinswordsdefence_tex	Пульсирующие скрещенные мечи	icon_crest.e_crestactiveattackup_tex	30% вероятность при успешном блоке на 10 секунд повысить силу на 15%.
21087	Теневой удар	330100	icon_skills.shadowchange_tex	Угрожающий теневой удар	icon_crest.e_crestpassiveaggroup_tex	Дает 20% дополнительной агрессии.
21088	Связующий меч	340100	icon_skills.bindingblade_tex	Мощный связующий меч	icon_crest.e_crestpassiveattackup_tex	+20% к наносимому умением урону.
21089	Связующий меч	340100	icon_skills.bindingblade_tex	Мощный связующий меч	icon_crest.e_crestpassiveattackup_tex	+20% к наносимому умением урону.
21090	Связующий меч	340100	icon_skills.bindingblade_tex	Стремительный связующий меч	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 20%.
21091	Смертельная игра	200100	icon_skills.deadlywill_tex	Задерживающая смертельная игра	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 20%.
21092	Связующий меч	340100	icon_skills.bindingblade_tex	Стремительный связующий меч	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 20%.
21093	Вспышка гнева	350100	icon_skills.provokerage_tex	Замедляющая вспышка гнева	icon_crest.e_crestpassivespeeddown_tex	На 5 секунд снижает скорость перемещения противника на 50%.
21094	Вспышка гнева	350100	icon_skills.provokerage_tex	Стремительная вспышка гнева	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки умения на 20%.
21095	Уклонение	20100	icon_skills.tumbling_tex	Символ резвости	icon_crest.e_crestactiveattackspeedup_tex	40% вероятность на 10 секунд повысить скорость атаки на 15%.
21096	Шквал ударов	30100	icon_skills.nanmu_tex	Символ зверя	icon_crest.e_crestpassiveaggroup_tex	Дает 40% дополнительной агрессии.
21097	Круговой удар	170100	icon_skills.allroundslash_tex	Символ воли	icon_crest.e_crestpassiveattackup_tex	+25% к наносимому умением урону.
21098	Каскад оглушений	210100	icon_skills.hardslash_tex	Символ воли	icon_crest.e_crestnextskillattackup_tex	Повышает урон умения "Град ударов" на 20% на несколько секунд.
21099	Нарастающая ярость	190100	icon_skills.tenaciousattack_tex	Символ замедления	icon_crest.e_crestactiveattackspeeddown_tex	20% вероятность на 7 секунд понизить скорость атаки противника на 15%.
