21000	緊急迴避	Icon_Skills.tumbling_Tex	神速紋章	Icon_Crest.E_crestactiveattackspeedup_Tex	以30%的機率，在10秒內增加15%攻擊速度的效果。
21001	起身攻擊	Icon_Skills.risingattack_Tex	集中紋章	Icon_Crest.E_crestpassivecooltimedown_Tex	冷卻時間減少 20% 
21002	迴避攻擊	Icon_Skills.evasionattack_Tex	集中紋章	Icon_Crest.E_crestpassivecooltimedown_Tex	冷卻時間減少 30% 
21003	腳踝狙擊	Icon_Skills.aimingankle_Tex	測試	Icon_Skills.voidtrap_Tex	無效果
21004	連續攻擊	Icon_Skills.comboattack_Tex	野獸紋章	Icon_Crest.E_crestpassiveaggroup_Tex	額外獲得仇恨值 5% 
21005	挑撥亂舞	Icon_Skills.nanmu_Tex	野獸紋章	Icon_Crest.E_crestpassiveaggroup_Tex	額外獲得仇恨值 20% 
21006	旋風擊	Icon_Skills.pointattack_Tex	鬥志紋章	Icon_Crest.E_crestpassiveattackup_Tex	技能威力增加 25% 
21007	向下劈擊	Icon_Skills.downblowattack_Tex	鬥志紋章	Icon_Crest.E_crestpassiveattackup_Tex	技能威力增加 25% 
21008	猛毒一擊	Icon_Skills.poisonblowattack_Tex	決心紋章	Icon_Crest.E_crestpassiveskilleffectup_Tex	猛毒持續傷害增加 15%
21009	鋼鐵決心	Icon_Skills.ironwillB_Tex	決心紋章	Icon_Crest.E_crestpassiveskilleffectup_Tex	抗打效果增加 10% 
21010	起身攻擊	Icon_Skills.risingattack_Tex	鬥志紋章	Icon_Crest.E_crestpassiveattackup_Tex	技能威力增加 25% 
21011	挑撥亂舞	Icon_Skills.nanmu_Tex	連續 精神紋章 [旋風擊]	Icon_Crest.E_crestnextskillmpdown_Tex	以連續技能使用旋風擊時，MP消耗減少 88。
21012	起身攻擊	Icon_Skills.risingattack_Tex	連續 精神紋章 [向下劈擊]	Icon_Crest.E_crestnextskillmpdown_Tex	以連續技能使用向下劈擊時，MP消耗減少 75。
21013	連續攻擊	Icon_Skills.comboattack_Tex	精神紋章	Icon_Crest.E_crestpassivemprecoveryup_Tex	擊中時，MP恢復量增加 35%。 
21014	迴避攻擊	Icon_Skills.evasionattack_Tex	神速紋章	Icon_Crest.E_crestactiveattackspeedup_Tex	以50%的機率，在10秒內增加15%攻擊速度的效果。
21015	緊急迴避	Icon_Skills.tumbling_Tex	集中紋章	Icon_Crest.E_crestactivecooltimereset_Tex	減少消耗ST 100
21016	衝擊吶喊	Icon_Skills.thunderingroar_Tex	集中紋章	Icon_Crest.E_crestpassivecooltimedown_Tex	冷卻時間減少 20% 
21017	旋風擊	Icon_Skills.pointattack_Tex	特質紋章	Icon_Crest.E_crestpassivehpheal_Tex	每當攻擊成功時，立即恢復0.5%的HP。
21018	鬥志一擊	Icon_Skills.aggravatingstrike_Tex	特質紋章	Icon_Crest.E_crestpassivehpdown_Tex	HP消耗減少 50% 
21019	旋風砍擊	Icon_Skills.allroundslash_Tex	鬥志紋章	Icon_Crest.E_crestpassiveattackup_Tex	技能威力增加 25% 
21020	突進砍擊	Icon_Skills.rushingslash_Tex	集中紋章	Icon_Crest.E_crestpassivecooltimedown_Tex	冷卻時間減少 25% 
21021	威脅決心		測試	Icon_Skills.voidtrap_Tex	無效果
21022	特質連打	Icon_Skills.tenaciousattack_Tex	集中紋章	Icon_Crest.E_crestactivecooltimereset_Tex	以25%的機率，立即結束冷卻時間。
21023	影分身	Icon_Skills.decoy_Tex	集中紋章	Icon_Crest.E_crestpassivecooltimedown_Tex	冷卻時間減少 20% 
21024	後擒術	Icon_Skills.backattack_Tex	時間紋章	Icon_Crest.E_crestpassivedurationup_Tex	效果持續時間延長 50% 
21025	必殺意志	Icon_Skills.deadlywill_Tex	集中紋章	Icon_Crest.E_crestpassivecooltimedown_Tex	冷卻時間減少 25% 
21026	反擊震懾	Icon_Skills.reversalturningattack_Tex	鬥志紋章	Icon_Crest.E_crestpassiveattackup_Tex	技能威力增加 25% 
21027	強襲砍擊	Icon_Skills.hardslash_Tex	精神紋章	Icon_Crest.E_crestpassivempdown_Tex	MP消耗減少 88 
21028	鬥志一擊	Icon_Skills.aggravatingstrike_Tex	連續 鬥志紋章 [特質連打]	Icon_Crest.E_crestnextskillattackup_Tex	以連續技能使用特質連打時，技能威力增加 20% 
21029	突進砍擊	Icon_Skills.rushingslash_Tex	連續 精神紋章 [猛毒一擊]	Icon_Crest.E_crestnextskillmpdown_Tex	以連續技能使用猛毒一擊時，MP消耗減少 50。
21030	強襲砍擊	Icon_Skills.hardslash_Tex	連續 精神紋章 [旋風擊]	Icon_Crest.E_crestnextskillmpdown_Tex	以連續技能使用旋風擊時，MP消耗減少 88。
21031	強襲砍擊	Icon_Skills.hardslash_Tex	連續 鬥志紋章 [旋風擊]	Icon_Crest.E_crestnextskillattackup_Tex	以連續技能使用旋風擊時，技能威力增加 20% 
21032	強襲砍擊	Icon_Skills.hardslash_Tex	集中紋章	Icon_Crest.E_crestactivecooltimereset_Tex	冷卻時間減少 25% 
21033	特質連打	Icon_Skills.tenaciousattack_Tex	減速紋章	Icon_Crest.E_crestactiveattackspeeddown_Tex	在7秒間以10% %機率誘發攻速15%減少效果
21034	挑撥亂舞	Icon_Skills.nanmu_Tex	慵懶紋章	Icon_Crest.E_crestactivespeeddown_Tex	以25%的機率，讓對象在4秒內無法移動。
21035	突進砍擊	Icon_Skills.rushingslash_Tex	連續 鬥志紋章 [鬥志一擊]	Icon_Crest.E_crestnextskillattackup_Tex	以連續技能使用鬥志一擊時，技能威力增加 20%。
21036	後擒術	Icon_Skills.backattack_Tex	集中紋章	Icon_Crest.E_crestpassivecooltimedown_Tex	冷卻時間減少 25% 
21037	反擊震懾	Icon_Skills.reversalturningattack_Tex	時間紋章	Icon_Crest.E_crestpassivedurationup_Tex	效果持續時間延長 50% 
21038	反擊震懾	Icon_Skills.reversalturningattack_Tex	集中紋章	Icon_Crest.E_crestactivecooltimereset_Tex	冷卻時間減少 20% 
21039	連續攻擊	Icon_Skills.comboattack_Tex	昏厥紋章	Icon_Crest.E_crestactivestun_Tex	以5%的機率，讓對象在2秒內觸發昏厥的效果。
21040	衝擊吶喊	Icon_Skills.thunderingroar_Tex	神速紋章	Icon_Crest.E_crestpassiveskillspeedup_Tex	施展速度上升 50% 
