1	Power	Debuff	False	perc	100000	0	0.1	Clear Conscience			Power and attack decreased to $H_W_BAD90%$COLOR_END.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
2	Power	Buff	True	perc	180000000	0	100	Promo BAM Buff			Increases your awesomeness when beating down Big-Ass Monsters.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
2	Endurance	Buff	True	perc	180000000	0	100	Promo BAM Buff			Increases your awesomeness when beating down Big-Ass Monsters.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
4	Stun	Buff	True	swch	3600000	0	5	Stun Bomb	7215	Stun Bomb	Stun effect	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
5	Drunk1	Debuff	True	seta	100000	0	0	Non-Effect Debuff			Non-effect debuff	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
6	Immune	Debuff	True	seta	100000	0	0	Damage Absolute Invincibility			Damage absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
7	Stun	Debuff	True	seta	100000	0	5	Damage Half Invincibility			Damage half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
7	Immune	Debuff	True	abs	100000	0	0	Damage Half Invincibility			Damage half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
8	Immune	Debuff	True	setp	100000	0	0	Debuff Absolute Invincibility			Debuff absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
9	Immune	Debuff	True	8	100000	0	0	Debuff Half Invincibility			Debuff half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
10	Immune	Debuff	True	16	100000	0	0	Reaction Absolute Invincibility			Reaction absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
11	Immune	Debuff	True	26	60000	0	0	Stone Skin			Stone	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex	True
11	StunKnockDown	Debuff	True	seta	60000	0	6	Stone Skin			Stone	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex	True
12	Immune	Debuff	True	21	10000	0	0	Vortex Prison			Vortex	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
12	StunKnockDown	Debuff	True	seta	10000	0	5	Vortex Prison			Vortex	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
12	247	Debuff	True	perc	10000	0	100	Vortex Prison			Vortex	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
13	Immune	Debuff	True	20	60000	0	0	Epiphany of the Goddess			Unchained goddess	icon_skills.adventgoddess_tex	icon_skills.voidtrap_tex	True
15	OutOfCombatMovSpd	Buff	True	abs	600000	0	10	Blessing of Zenobia			Non-combat movement speed increases by $H_W_GOOD10.0$COLOR_END.	icon_skills.fastwalk_tex	icon_skills.fastwalk_tex	True
21	KnockDownChance	Buff	True	perc	900000	0	10	Chasing and Hunting_Reaction_Resistance Test			Increases the chance of reaction resistance 10 times.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
22	Attack	Buff	True	perc	1200000	0	1.4	Test_Increased Skill Damage			Test only: Increases all skill damage by 40%!	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
23	CritChance	Buff	True	abs	60000	0	1	Automatic Critical Hits			All your attacks are critical hits.$BRTest Only			True
101	Immune	Buff	True	16	2000	0	0	Retaliate			While in effect, immune to reaction.	icon_skills.risingattack_tex	icon_skills.risingattack_tex	True
201	Power	Buff	True	abs	900000	0	17	Blessing of Shakan I			Power increases by $H_W_GOOD17.0$COLOR_END.	icon_skills.attackup_tex	icon_skills.attackup_tex	True
202	Power	Buff	True	abs	900000	0	25	Blessing of Shakan			Power increases by $H_W_GOOD25.0$COLOR_END.	icon_skills.attackup_tex	icon_skills.attackup_tex	True
301	Stun	Stun	False	swch	3000	0	5	Lightning Trap I			Stunned. Cannot move.	icon_skills.shocktrap_tex	icon_skills.shocktrap_tex	True
302	Stun	Stun	False	swch	5000	0	5	Lightning Trap			Stunned. Cannot move.	icon_skills.shocktrap_tex	icon_skills.shocktrap_tex	True
601	Power	Buff	True	abs	25000	0	20	Titanic Wrath I			Power increases by $H_W_GOOD20.0$COLOR_END.	icon_skills.rage_tex	icon_skills.rage_tex	True
602	Power	Buff	True	abs	25000	0	25	Titanic Wrath			Power increases by $H_W_GOOD25.0$COLOR_END.	icon_skills.rage_tex	icon_skills.rage_tex	True
901	Stun	Stun	False	swch	3000	0	5	Shara's Lash			Stunned. Cannot move.	icon_skills.flashball_tex	icon_skills.flashball_tex	True
902	DefPotion	Buff	True	perc	0	0	0.95	Noctenium Infusion	1300	Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
902	AtkPotion	Buff	True	perc	0	0	1.05	Noctenium Infusion	1300	Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
902	Noctenium	Buff	True	swch	0	0	1	Noctenium Infusion	1300	Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
903	Power	Buff	True	abs	30000	0	15	Murderous Intent			Increases power by $H_W_GOOD15.0$COLOR_END, attack speed by $H_W_GOOD8%$COLOR_END, crit rate by $H_W_GOOD4%$COLOR_END, and movement speed by $H_W_GOOD4%$COLOR_END.	icon_skills.battlefield_high_ranking_tex	icon_skills.battlefield_high_ranking_tex	True
903	MovSpd	Buff	True	perc	30000	0	1.04	Murderous Intent			Increases power by $H_W_GOOD15.0$COLOR_END, attack speed by $H_W_GOOD8%$COLOR_END, crit rate by $H_W_GOOD4%$COLOR_END, and movement speed by $H_W_GOOD4%$COLOR_END.	icon_skills.battlefield_high_ranking_tex	icon_skills.battlefield_high_ranking_tex	True
903	Crit	Buff	True	perc	30000	0	1.04	Murderous Intent			Increases power by $H_W_GOOD15.0$COLOR_END, attack speed by $H_W_GOOD8%$COLOR_END, crit rate by $H_W_GOOD4%$COLOR_END, and movement speed by $H_W_GOOD4%$COLOR_END.	icon_skills.battlefield_high_ranking_tex	icon_skills.battlefield_high_ranking_tex	True
903	ASpd	Buff	True	perc	30000	0	1.08	Murderous Intent			Increases power by $H_W_GOOD15.0$COLOR_END, attack speed by $H_W_GOOD8%$COLOR_END, crit rate by $H_W_GOOD4%$COLOR_END, and movement speed by $H_W_GOOD4%$COLOR_END.	icon_skills.battlefield_high_ranking_tex	icon_skills.battlefield_high_ranking_tex	True
903	190	Buff	True	swch	30000	0	0	Murderous Intent			Increases power by $H_W_GOOD15.0$COLOR_END, attack speed by $H_W_GOOD8%$COLOR_END, crit rate by $H_W_GOOD4%$COLOR_END, and movement speed by $H_W_GOOD4%$COLOR_END.	icon_skills.battlefield_high_ranking_tex	icon_skills.battlefield_high_ranking_tex	True
904	AtkPotion	Buff	True	swch	15000	0	1.1	Energy Stars Amplification			Increases skill damage by $H_W_GOOD$10$COLOR_END for first hit. Cannot be applied to caster.	icon_skills.berserk_tex	icon_skills.berserk_tex	True
905	MPChange	Buff	True	abs	10000	2	100	Regeneration Circle—MP Restoration			Heals $H_W_GOOD100.0$COLOR_END MP every $H_W_GOOD2s$COLOR_END.	icon_status.plusmp_tex	icon_status.plusmp_tex	True
906	MPChange	Buff	True	abs	5000	1	50	Restorative Burst—MP Restoraion			Heals $H_W_GOOD50.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_status.plusmp_tex	icon_status.plusmp_tex	True
907	ASpd	Buff	True	perc	15000	0	1.2	Titanic Wrath—Acceleration			Speeds casting by $H_W_GOOD20%$COLOR_END for first skill.	icon_status.plusattack_tex	icon_status.plusattack_tex	True
908	Absorb	Buff	True	swch	5000	0	4000	Titanic Favor—Protection			Absorbs up to $H_W_GOOD4000.0$COLOR_END damage. $BRImmune to knockdown and immobilize while in effect.	icon_status.plusedefence_tex	icon_status.plusedefence_tex	True
910	Noctenium	Buff	True	swch	0	0	2	Test	1230	Superior Noctenium Infusion	Test	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
911	DefPotion	Buff	True	perc	0	0	0.95	Noctenium Infusion	1301	Alliance Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
911	AtkPotion	Buff	True	perc	0	0	1.05	Noctenium Infusion	1301	Alliance Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
911	Noctenium	Buff	True	swch	0	0	3	Noctenium Infusion	1301	Alliance Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
912	DefPotion	Buff	True	perc	0	0	0.95	Noctenium Infusion	1302	Vault Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
912	AtkPotion	Buff	True	perc	0	0	1.05	Noctenium Infusion	1302	Vault Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
912	Noctenium	Buff	True	swch	0	0	4	Noctenium Infusion	1302	Vault Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
913	DefPotion	Buff	True	perc	0	0	0.95	Noctenium Infusion	1303	Adapted Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
913	AtkPotion	Buff	True	perc	0	0	1.05	Noctenium Infusion	1303	Adapted Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
913	Noctenium	Buff	True	swch	0	0	5	Noctenium Infusion	1303	Adapted Noctenium Infusion	PvP damage dealt is increased by 5%; PvP damage received is decreased by 5%.	icon_items.union_supplies5_tex	icon_items.union_supplies5_tex	True
1100	XPBoost	Buff	True	perc	1800000	0	1.05	Potion of Cultural Opportunity			Combat XP bonus of $H_W_GOOD5%$COLOR_END.	icon_items.potion12_tex	icon_items.potion12_tex	True
1101	XPBoost	Buff	True	perc	3600000	0	1.2	Adoration I	9	Bound Cracker Confetti	Combat XP increases by $H_W_GOOD20%$COLOR_END.$BREffect persists through death.	icon_items.exp_buff_potion1_tex	icon_items.exp_buff_potion1_tex	True
1102	XPBoost	Buff	True	perc	1800000	0	1.1	Festival Furor I	10	Bound Fireworks	Combat XP increases by $H_W_GOOD10%$COLOR_END.$BREffect persists through death.	icon_items.exp_buff_potion2_tex	icon_items.exp_buff_potion2_tex	True
1103	XPBoost	Buff	True	perc	10800000	0	2	Adoration II	67	[Binding] Cracker Confetti II	Combat XP increases by $H_W_GOOD100%$COLOR_END.$BREffect persists through death.	icon_items.exp_buff_potion1_tex	icon_items.exp_buff_potion1_tex	True
1104	XPBoost	Buff	True	perc	0	0	1.5	Festival Furor II			Combat XP increases by $H_W_GOOD50%$COLOR_END.$BREffect persists through death.	icon_items.exp_buff_potion2_tex	icon_items.exp_buff_potion2_tex	True
1105	XPBoost	Buff	True	perc	10800000	0	1.1	Powerful Potion of Cultural Opportunity			The Powerful Potion of Cultural Opportunity has a special effect of increasing your hunting XP by $H_W_GOOD10%$COLOR_END. The effect does not disappear, even if you die.	icon_items.potion12_tex	icon_items.potion12_tex	True
1106	XPBoost	Buff	True	perc	0	0	2	Adoration II			Combat XP increases by $H_W_GOOD100%$COLOR_END. $BREffect persists through death.	icon_items.exp_buff_potion1_tex	icon_items.exp_buff_potion1_tex	True
1110	XPBoost	Buff	True	perc	0	0	1.2	Traveler's Balm			Seren's blessing on travelers. Combat XP increases by $H_W_GOOD20%$COLOR_END.$BREffect persists through death.	icon_status.exp_buff_serensolo_tex	icon_status.exp_buff_serensolo_tex	True
1120	BuffNearbyParty	Buff	True	seta	0	5	1125	Seren's Torchbearer			The Goddess of the Night blesses your journey. You project an aura on yourself and party members within 40m.$BREffect persists through death.	icon_skills.exp_buff_seren_aura_tex	icon_skills.exp_buff_seren_aura_tex	True
1125	XPBoost	Buff	True	perc	0	0	1.3	Torchlight			Torchbearer nearby. Combat XP increases by $H_W_GOOD30%$COLOR_END.$BREffect persists through death.	icon_status.exp_buff_serenparty_tex	icon_status.exp_buff_serenparty_tex	True
1130	MPChange	Buff	True	perc	25000	1	0.04	Heart Candy Cane	435	Heart Candy Cane	The power of the Heart Lollipop restores $H_W_GOOD4%$COLOR_END of the max MP every $H_W_GOOD1s$COLOR_END.	icon_items.heartlollipop_tex	icon_items.heartlollipop_tex	True
1131	MPChange	Buff	True	perc	1000	1	0.5	Heart Chocolate	434	Heart Chocolate	Sweeter than any other chocolate, the Heart Chocolate instantly restores $H_W_GOOD50%$COLOR_END of the max MP.	icon_items.heartchocolate_tex	icon_items.heartchocolate_tex	True
1132	StaminaDecay	Buff	True	seta	1800000	0	0	Love Letter	433	Love Letter	Due to the heart beating caused by the letter, Stamina does not decrease while the effect lasts.	icon_items.loveletter_tex	icon_items.loveletter_tex	True
1133	MPChange	Buff	True	perc	25000	1	0.04	Shining Candy			Restores $H_W_GOOD4%$COLOR_END of total MP every $H_W_GOOD1s$COLOR_END.	icon_items.heartlollipop_tex	icon_items.heartlollipop_tex	True
1134	Immune	Buff	True	27	12000	0	0	Goddess' Blessing	60260	Goddess' Blessing	Invincible for a short period. Ends upon using any skills.	icon_status.revivenow_status_tex	icon_status.revivenow_status_tex	True
1135	Endurance	Buff	True	perc	0	0	1	Federation's Call			Vakyon federation rewards more for recruits! Except repeatable quest, all gold reward increased two times.	icon_status.plusfocus_tex	icon_status.plusfocus_tex	True
1150	HPChange	Buff	True	perc	1800000	5	0.01	Vigorous Renewal Draught			Heals $H_W_GOOD1%$COLOR_END of total HP every $H_W_GOOD5s$COLOR_END.	icon_items.potion14_tex	icon_items.potion14_tex	True
1151	HPChange	Buff	True	perc	10800000	5	0.01	Powerful Vigorous Renewal Draught			The Powerful Vigorous Renewal Draught has a special effect of restoring $H_W_GOOD1%$COLOR_END of all HP every $H_W_GOOD5s$COLOR_END.	icon_items.potion14_tex	icon_items.potion14_tex	True
1200	MPChange	Buff	True	abs	1800000	5	5	Infused Renewal Draught			Restores $H_W_GOOD5.0$COLOR_END MP every $H_W_GOOD5s$COLOR_END.	icon_items.potion15_tex	icon_items.potion15_tex	True
1201	MPChange	Buff	True	abs	10800000	5	5	Powerful Infused Renewal Draught			The Powerful Infused Renewal Draught has a special effect of restoring $H_W_GOOD5.0$COLOR_END MP every $H_W_GOOD5s$COLOR_END.	icon_items.potion15_tex	icon_items.potion15_tex	True
1250	Power	Buff	True	abs	1800000	0	5	Powerful Savage Draught			Power increases by $H_W_GOOD5.0$COLOR_END.	icon_items.potion11_tex	icon_items.potion11_tex	True
1300	Endurance	Buff	True	abs	1800000	0	13	Tenacious Savage Draught			Endurance increases by $H_W_GOOD13.0$COLOR_END.	icon_items.potion17_tex	icon_items.potion17_tex	True
1350	AtkPotion	Buff	True	perc	1800000	0	1.05	Powerful Rival Draught			Do $H_W_GOOD5%$COLOR_END more damage against other players.$BREffect persists through death.	icon_items.potion20_tex	icon_items.potion20_tex	True
1400	DefPotion	Buff	True	perc	1800000	0	0.95	Tenacious Rival Draught			Take $H_W_GOOD5%$COLOR_END less damage from other players.$BREffect persists through death.	icon_items.potion8_tex	icon_items.potion8_tex	True
1440	HPChange	Buff	True	abs	15000	1	57	Bandage I	172	Keener's Medicated Bandage	Heals $H_W_GOOD57.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage1_rare_tex	icon_items.bandage1_rare_tex	True
1441	HPChange	Buff	True	abs	15000	1	105	Bandage II	173	Verdra Medicated Bandage	Heals $H_W_GOOD105.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage2_rare_tex	icon_items.bandage2_rare_tex	True
1442	HPChange	Buff	True	abs	15000	1	202	Bandage III	174	Sylva Medicated Bandage	Heals $H_W_GOOD202.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage3_rare_tex	icon_items.bandage3_rare_tex	True
1443	HPChange	Buff	True	abs	15000	1	386	Bandage IV	175	Shetla Medicated Bandage	Heals $H_W_GOOD386.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage4_rare_tex	icon_items.bandage4_rare_tex	True
1444	HPChange	Buff	True	abs	15000	1	777	Bandage V	176	Toira Medicated Bandage	Heals $H_W_GOOD777.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage5_rare_tex	icon_items.bandage5_rare_tex	True
1445	HPChange	Buff	True	abs	15000	1	1273	Bandage VI	177	Luria Medicated Bandage	Heals $H_W_GOOD1273.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage6_rare_tex	icon_items.bandage6_rare_tex	True
1450	HPChange	Buff	True	abs	10000	1	43	First Aid I	125	Keener's Bandage	Heals $H_W_GOOD43.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage1_tex	icon_items.bandage1_tex	True
1451	HPChange	Buff	True	abs	10000	1	79	First Aid II	126	Verdra Bandage	Heals $H_W_GOOD79.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage2_tex	icon_items.bandage2_tex	True
1452	HPChange	Buff	True	abs	10000	1	152	First Aid III	127	Sylva Bandage	Heals $H_W_GOOD152.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage3_tex	icon_items.bandage3_tex	True
1453	HPChange	Buff	True	abs	10000	1	290	First Aid IV	128	Shetla Bandage	Heals $H_W_GOOD290.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage4_tex	icon_items.bandage4_tex	True
1454	HPChange	Buff	True	abs	10000	1	582	First Aid V	7154	Toira Bandage	Heals $H_W_GOOD582.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage5_tex	icon_items.bandage5_tex	True
1455	HPChange	Buff	True	abs	10000	1	954	First Aid VI	7155	Luria Bandage	Heals $H_W_GOOD954.0$COLOR_END HP every $H_W_GOOD1s$COLOR_END.	icon_items.bandage6_tex	icon_items.bandage6_tex	True
1460	HPChange	Buff	True	perc	20000	1	0.05	Lelyn's Bandage	5	Lelyn's Bound Bandage	Heals $H_W_GOOD5%$COLOR_END of total HP every $H_W_GOOD1s$COLOR_END.	icon_items.perfect_bandage_tex	icon_items.perfect_bandage_tex	True
1461	HPChange	Buff	True	perc	30000	1	0.04	Toruan Snacks	345	Comfort Food	Heals $H_W_GOOD4%$COLOR_END of total HP every $H_W_GOOD1s$COLOR_END.	icon_items.ricecake_tex	icon_items.ricecake_tex	True
1462	HPChange	Buff	True	perc	20000	1	0.05	Tertas Fruit Candy	360	Tertas Fruit Candy	Heals $H_W_GOOD5%$COLOR_END of total HP every $H_W_GOOD1s$COLOR_END.	icon_items.candyapple_tex	icon_items.candyapple_tex	True
1470	OutOfCombatMovSpd	Buff	True	abs	90000	0	30	Speed Potion	8007	Speed Potion	Speed increases by $H_W_GOOD30.0$COLOR_END while out of combat.	icon_items.potion6_tex	icon_items.potion6_tex	True
1480	OutOfCombatMovSpd	Buff	True	abs	180000	0	20	Zenobia's Zeal			Speed increases by $H_W_GOOD20.0$COLOR_END while out of combat.	icon_status.plusmove_tex	icon_status.plusmove_tex	True
1490	HPChange	Buff	True	perc	15000	1	0.05	Rejuvenation Potion	111	Rejuvenation Potion	Heals $H_W_GOOD5%$COLOR_END of total HP every $H_W_GOOD1s$COLOR_END.	icon_items.potion1_tex	icon_items.potion1_tex	True
1491	HPChange	Buff	True	perc	5000	1	0.06	Valiant Potion			Heals $H_W_GOOD6%$COLOR_END of total HP every $H_W_GOOD1s$COLOR_END.	icon_items.potion1_tex	icon_items.potion1_tex	True
1510	HPChange	Buff	True	perc	1000	1	0.5	Healing Potion	114	Valkyon Health Potion	Instantly restores $H_W_GOOD50%$COLOR_END of total HP.	icon_items.potion5_tex	icon_items.potion5_tex	False
1530	MPChange	Buff	True	perc	15000	1	0.05	Divine Infusion	130	Divine Infusion	Restores $H_W_GOOD5%$COLOR_END of total MP every $H_W_GOOD1s$COLOR_END.	icon_items.potion19_tex	icon_items.potion19_tex	True
1610	HPChange	Buff	True	perc	10000	1	0.02	Rejuvenation Mote	8000	Rejuvenation Mote	Heals $H_W_GOOD2%$COLOR_END of total HP every $H_W_GOOD1s$COLOR_END.	icon_items.potion1_tex	icon_items.potion1_tex	True
1630	HPChange	Buff	True	perc	1000	1	0.25	Healing Mote	8005	Healing Mote	Heals $H_W_GOOD25%$COLOR_END of total HP.	icon_items.potion5_tex	icon_items.potion5_tex	False
1640	CraftTime	Buff	True	perc	3600000	0	0.8	Midnight Oil	1	Velika Midnight Oil	Crafting speed increases by $H_W_GOOD20%$COLOR_END.	icon_items.artisan_potion_tex	icon_items.artisan_potion_tex	True
