5	1	Lelyn's Bound Bandage	1000	1000
6	1	Bound Greater Onslaught Charm	1000	1000
7	1	Bound Greater Ethereal Charm	1000	1000
8	1	Bound Greater Sanguine Charm	1000	1000
14	1	Catharnach Award	100000	10000
22	12	Support Token	69	3000
23	32	Progress Token	374	5000
24	42	Dedication Token	2097	8000
25	52	Frontlines Token	6162	10000
30	1	Lelyn's Bandage	1000	1000
31	1	Onslaught Charm	1000	1000
32	1	Ethereal Charm	1000	1000
33	1	Sanguine Charm	1000	1000
98	1	Campfire	200	2000
99	1	Firewood	50	500
117	1	Battle Panacea	10000	10000
125	1	Keener's Bandage	5	50
126	11	Verdra Bandage	10	100
127	23	Sylva Bandage	30	300
128	35	Shetla Bandage	65	650
129	1	Arunic Panacea	3000	3000
172	1	Keener's Medicated Bandage	15	150
173	11	Verdra Medicated Bandage	30	300
174	23	Sylva Medicated Bandage	90	900
175	35	Shetla Medicated Bandage	200	2000
176	48	Toira Medicated Bandage	525	5250
177	58	Luria Medicated Bandage	675	6750
178	1	Power Charm	1000	10000
179	1	Keen Charm	1000	10000
180	1	Speed Charm	1000	10000
181	1	Strength Charm	1000	10000
182	1	Enduring Charm	1000	10000
183	1	Unyielding Charm	1000	10000
184	1	Rigid Charm	1000	10000
185	1	Robust Charm	1000	10000
186	1	Caduceus Charm	1000	10000
187	1	Tenacity Charm	1000	10000
188	1	Mirror Charm	1000	10000
189	1	Relentless Charm	1000	10000
190	1	Cunning Charm	1000	10000
191	1	Vigorous Charm	1000	10000
192	1	Infused Charm	1000	10000
193	1	Swift Charm	1000	10000
345	1	Comfort Food	1000	1000
360	1	Tertas Fruit Candy	1000	1000
389	1	Veteran Bandage	1000	1000
400	1	Santa Candle	200	100000
433	1	Love Letter	100	100
1771	65	Pilka Medicated Bandage	1013	10130
5121	1	Dark Matter	1000	1000
5122	1	Vessel of the Gods	0	1000
5123	1	Torch of the Gods	1000	1000
5124	1	Trace of Fear	1000	1000
5125	1	Argon Core	1000	1000
5126	1	Potion of Will	1000	1000
5127	1	Purification Totem	1000	1000
6000	1	Healing Potion I	52	350
6001	1	Major Healing Potion I	81	1100
6002	9	Healing Potion II	112	550
6003	9	Major Healing Potion II	153	2300
6004	17	Healing Potion III	180	950
6005	17	Major Healing Potion III	234	3500
6006	25	Healing Potion IV	255	1500
6007	25	Major Healing Potion IV	333	5600
6008	33	Healing Potion V	337	2500
6009	33	Major Healing Potion V	450	8700
6010	41	Healing Potion VI	525	3900
6011	41	Major Healing Potion VI	684	11000
6012	51	Healing Potion VII	765	5700
6013	51	Major Healing Potion VII	1017	16000
6014	57	Healing Potion VIII	1275	8500
6015	57	Major Healing Potion VIII	1737	29000
6016	1	Mana Potion I	31	350
6017	1	Major Mana Potion I	48	1100
6018	9	Mana Potion II	67	550
6019	9	Major Mana Potion II	91	2300
6020	17	Mana Potion III	108	950
6021	17	Major Mana Potion III	140	3500
6022	25	Mana Potion IV	153	1500
6023	25	Major Mana Potion IV	199	5600
6024	33	Mana Potion V	202	2500
6025	33	Major Mana Potion V	270	8700
6026	41	Mana Potion VI	315	3900
6027	41	Major Mana Potion VI	410	11000
6028	51	Mana Potion VII	459	5700
6029	51	Major Mana Potion VII	610	16000
6030	57	Mana Potion VIII	765	8500
6031	57	Major Mana Potion VIII	1042	29000
6032	1	Holism Potion I	94	350
6033	1	Major Holism Potion I	145	1100
6034	9	Holism Potion II	202	550
6035	9	Major Holism Potion II	275	2300
6036	17	Holism Potion III	324	950
6037	17	Major Holism Potion III	421	3500
6038	25	Holism Potion IV	459	1500
6039	25	Major Holism Potion IV	599	5600
6040	33	Holism Potion V	607	2500
6041	33	Major Holism Potion V	810	8700
6042	41	Holism Potion VI	945	3900
6043	41	Major Holism Potion VI	1231	11000
6044	51	Holism Potion VII	1377	5700
6045	51	Major Holism Potion VII	1830	16000
6046	57	Holism Potion VIII	2295	8500
6047	57	Major Holism Potion VIII	3126	29000
6048	1	Healing Elixir I	33	350
6049	1	Major Healing Elixir I	51	1100
6050	9	Healing Elixir II	72	550
6051	9	Major Healing Elixir II	97	2300
6052	17	Healing Elixir III	115	950
6053	17	Major Healing Elixir III	149	3500
6054	25	Healing Elixir IV	163	1500
6055	25	Major Healing Elixir IV	213	5600
6056	33	Healing Elixir V	216	2500
6057	33	Major Healing Elixir V	288	8700
6058	41	Healing Elixir VI	336	3900
6059	41	Major Healing Elixir VI	437	11000
6060	51	Healing Elixir VII	489	5700
6061	51	Major Healing Elixir VII	650	16000
6062	57	Healing Elixir VIII	816	8500
6063	57	Major Healing Elixir VIII	1111	29000
6064	1	Mana Elixir I	20	350
6065	1	Major Mana Elixir I	31	1100
6066	9	Mana Elixir II	43	550
6067	9	Major Mana Elixir II	58	2300
6068	17	Mana Elixir III	69	950
6069	17	Major Mana Elixir III	89	3500
6070	25	Mana Elixir IV	97	1500
6071	25	Major Mana Elixir IV	127	5600
6072	33	Mana Elixir V	129	2500
6073	33	Major Mana Elixir V	172	8700
6074	41	Mana Elixir VI	201	3900
6075	41	Major Mana Elixir VI	262	11000
6076	51	Mana Elixir VII	293	5700
6077	51	Major Mana Elixir VII	390	16000
6078	57	Mana Elixir VIII	489	8500
6079	57	Major Mana Elixir VIII	667	29000
6080	1	Holism Elixir I	60	350
6081	1	Major Holism Elixir I	93	1100
6082	9	Holism Elixir II	129	550
6083	9	Major Holism Elixir II	176	2300
6084	17	Holism Elixir III	207	950
6085	17	Major Holism Elixir III	269	3500
6086	25	Holism Elixir IV	293	1500
6087	25	Major Holism Elixir IV	383	5600
6088	33	Holism Elixir V	388	2500
6089	33	Major Holism Elixir V	518	8700
6090	41	Holism Elixir VI	604	3900
6091	41	Major Holism Elixir VI	788	11000
6092	51	Holism Elixir VII	881	5700
6093	51	Major Holism Elixir VII	1171	16000
6094	57	Holism Elixir VIII	1468	8500
6095	57	Major Holism Elixir VIII	2001	29000
6096	1	Healing Draught I	122	9000
6097	1	Major Healing Draught I	189	27000
6098	9	Healing Draught II	262	15000
6099	9	Major Healing Draught II	357	45000
6100	17	Healing Draught III	420	22000
6101	17	Major Healing Draught III	546	66000
6102	25	Healing Draught IV	595	34000
6103	25	Major Healing Draught IV	777	102000
6104	33	Healing Draught V	787	55000
6105	33	Major Healing Draught V	1050	165000
6106	41	Healing Draught VI	1225	63000
6107	41	Major Healing Draught VI	1596	189000
6108	51	Healing Draught VII	1785	81000
6109	51	Major Healing Draught VII	2373	243000
6110	57	Healing Draught VIII	2975	101000
6111	57	Major Healing Draught VIII	4053	303000
6112	1	Mana Draught I	122	9000
6113	1	Major Mana Draught I	189	27000
6114	9	Mana Draught II	262	15000
6115	9	Major Mana Draught II	357	45000
6116	17	Mana Draught III	420	22000
6117	17	Major Mana Draught III	546	66000
6118	25	Mana Draught IV	595	34000
6119	25	Major Mana Draught IV	777	102000
6120	33	Mana Draught V	787	55000
6121	33	Major Mana Draught V	1050	165000
6122	41	Mana Draught VI	1225	63000
6123	41	Major Mana Draught VI	1596	189000
6124	51	Mana Draught VII	1785	81000
6125	51	Major Mana Draught VII	2373	243000
6126	57	Mana Draught VIII	2975	101000
6127	57	Major Mana Draught VIII	4053	303000
6128	1	Holism Draught I	122	9000
6129	1	Major Holism Draught I	189	27000
6130	9	Holism Draught II	262	15000
6131	9	Major Holism Draught II	357	45000
6132	17	Holism Draught III	420	22000
6133	17	Major Holism Draught III	546	66000
6134	25	Holism Draught IV	595	34000
6135	25	Major Holism Draught IV	777	102000
6136	33	Holism Draught V	787	55000
6137	33	Major Holism Draught V	1050	165000
6138	41	Holism Draught VI	1225	63000
6139	41	Major Holism Draught VI	1596	189000
6140	51	Holism Draught VII	1785	81000
6141	51	Major Holism Draught VII	2373	243000
6142	57	Holism Draught VIII	2975	101000
6143	57	Major Holism Draught VIII	4053	303000
6144	1	Health Restorative I	91	350
6145	1	Major Health Restorative I	140	1100
6146	9	Health Restorative II	195	550
6147	9	Major Health Restorative II	265	2300
6148	17	Health Restorative III	312	950
6149	17	Major Health Restorative III	405	3500
6150	25	Health Restorative IV	442	1500
6151	25	Major Health Restorative IV	577	5600
6152	33	Health Restorative V	585	2500
6153	33	Major Health Restorative V	780	8700
6154	41	Health Restorative VI	910	3900
6155	41	Major Health Restorative VI	1185	11000
6156	51	Health Restorative VII	1326	5700
6157	51	Major Health Restorative VII	1762	16000
6158	57	Health Restorative VIII	2210	8500
6159	57	Major Health Restorative VIII	3010	29000
6160	1	Mana Restorative I	91	350
6161	1	Major Mana Restorative I	140	1100
6162	9	Mana Restorative II	195	550
6163	9	Major Mana Restorative II	265	2300
6164	17	Mana Restorative III	312	950
6165	17	Major Mana Restorative III	405	3500
6166	25	Mana Restorative IV	442	1500
6167	25	Major Mana Restorative IV	577	5600
6168	33	Mana Restorative V	585	2500
6169	33	Major Mana Restorative V	780	8700
6170	41	Mana Restorative VI	910	3900
6171	41	Major Mana Restorative VI	1185	11000
6172	51	Mana Restorative VII	1326	5700
6173	51	Major Mana Restorative VII	1762	16000
6174	57	Mana Restorative VIII	2210	8500
6175	57	Major Mana Restorative VIII	3010	29000
6176	1	Holism Restorative I	91	350
6177	1	Major Holism Restorative I	140	1100
6178	9	Holism Restorative II	195	550
6179	9	Major Holism Restorative II	265	2300
6180	17	Holism Restorative III	312	950
6181	17	Major Holism Restorative III	405	3500
6182	25	Holism Restorative IV	442	1500
6183	25	Major Holism Restorative IV	577	5600
6184	33	Holism Restorative V	585	2500
6185	33	Major Holism Restorative V	780	8700
6186	41	Holism Restorative VI	910	3900
6187	41	Major Holism Restorative VI	1185	11000
6188	51	Holism Restorative VII	1326	5700
6189	51	Major Holism Restorative VII	1762	16000
6190	57	Holism Restorative VIII	2210	8500
6191	57	Major Holism Restorative VIII	3010	29000
6192	1	Onslaught Scroll: Crit Factor I	468	500
6193	21	Onslaught Scroll: Crit Factor II	937	1100
6194	31	Onslaught Scroll: Crit Factor III	1875	3600
6195	41	Onslaught Scroll: Crit Factor IV	3750	8500
6196	51	Onslaught Scroll: Crit Factor V	7500	11000
6197	1	Onslaught Scroll: Crit Power I	468	500
6198	21	Onslaught Scroll: Crit Power II	937	1100
6199	31	Onslaught Scroll: Crit Power III	1875	3600
6200	41	Onslaught Scroll: Crit Power IV	3750	8500
6201	51	Onslaught Scroll: Crit Power V	7500	11000
6202	1	Onslaught Scroll: Impact Factor I	468	500
6203	21	Onslaught Scroll: Impact Factor II	937	1100
6204	31	Onslaught Scroll: Impact Factor III	1875	3600
6205	41	Onslaught Scroll: Impact Factor IV	3750	8500
6206	51	Onslaught Scroll: Impact Factor V	7500	11000
6207	1	Onslaught Scroll: Attack Speed I	468	500
6208	21	Onslaught Scroll: Attack Speed II	937	1100
6209	31	Onslaught Scroll: Attack Speed III	1875	3600
6210	41	Onslaught Scroll: Attack Speed IV	3750	8500
6211	51	Onslaught Scroll: Attack Speed V	7500	11000
6212	1	Fleetfoot Scroll I	38	500
6213	1	Fleetfoot Scroll II	82	1100
6214	1	Fleetfoot Scroll III	146	3600
6215	1	Fleetfoot Scroll IV	271	8500
6216	1	Fleetfoot Scroll V	619	11000
6217	1	Warding Scroll I	220	500
6218	21	Warding Scroll II	441	1100
6219	31	Warding Scroll III	717	3600
6220	41	Warding Scroll IV	1159	8500
6221	51	Warding Scroll V	2135	11000
6222	1	Curative Scroll I	44	440
6223	21	Curative Scroll II	119	1190
6224	31	Curative Scroll III	254	2540
6225	41	Curative Scroll IV	547	5470
6226	51	Curative Scroll V	1428	14280
6227	1	Scroll of Tenacity I	44	440
6228	21	Scroll of Tenacity II	119	1190
6229	31	Scroll of Tenacity III	254	2540
6230	41	Scroll of Tenacity IV	547	5470
6231	51	Scroll of Tenacity V	1428	14280
6232	1	Caduceus Scroll I	44	440
6233	21	Caduceus Scroll II	119	1190
6234	31	Caduceus Scroll III	254	2540
6235	41	Caduceus Scroll IV	547	5470
6236	51	Caduceus Scroll V	1428	14280
6237	1	Curative Burst I	110	550
6238	21	Curative Burst II	239	1488
6239	31	Curative Burst III	423	3175
6240	41	Curative Burst IV	782	6838
6241	51	Curative Burst V	1785	17850
6242	1	Burst of Tenacity I	110	550
6243	21	Burst of Tenacity II	239	1488
