5	1	Lelyns Gebundener Verband	1000	1000
6	1	Gebundener Mächtiger Talisman des Ansturms	1000	1000
7	1	Gebundener Mächtiger Talisman der Abschreckung	1000	1000
8	1	Gebundener Mächtiger Talisman der Möglichkeiten	1000	1000
14	1	Catharnachpreis	100000	10000
22	12	Unterstützungsmarke	69	3000
23	32	Fortschrittsmarke	374	5000
24	42	Einsatzmarke	2097	8000
25	52	Frontmarke	6162	10000
30	1	Lelyns Verband	1000	1000
31	1	Talisman des Ansturms	1000	1000
32	1	Talisman der Abschreckung	1000	1000
33	1	Talisman der Möglichkeiten	1000	1000
98	1	Lagerfeuer	200	2000
99	1	Feuerholz	50	500
117	1	Schlachtheilmittel	10000	10000
125	1	Verband des Musterschülers	5	50
126	11	Verdraverband	10	100
127	23	Sylvaverband	30	300
128	35	Shetlaverband	65	650
129	1	Arunisches Allheilmittel	3000	3000
172	1	Medizinischer Verband des Strebers	15	150
173	11	Medizinischer Verdraverband	30	300
174	23	Medizinischer Sylvaverband	90	900
175	35	Medizinischer Shetlaverband	200	2000
176	48	Medizinischer Toiraverband	525	5250
177	58	Medizinischer Luriaverband	675	6750
178	1	Talisman der Kraft	1000	10000
179	1	Talisman der Kühnheit	1000	10000
180	1	Talisman der Geschwindigkeit	1000	10000
181	1	Talisman der Stärke	1000	10000
182	1	Talisman der Ausdauer	1000	10000
183	1	Talisman der Unnachgiebigkeit	1000	10000
184	1	Talisman der Unbeugsamkeit	1000	10000
185	1	Talisman der Stabilität	1000	10000
186	1	Talisman der Widerstandskraft	1000	10000
187	1	Talisman der Beharrlichkeit	1000	10000
188	1	Spiegeltalisman	1000	10000
189	1	Talisman der Unaufhaltsamkeit	1000	10000
190	1	Talisman der List	1000	10000
191	1	Talisman der Vitalität	1000	10000
192	1	Talisman der Durchdringung	1000	10000
193	1	Talisman der Flinkheit	1000	10000
345	1	Leckeres Essen	1000	1000
360	1	Tertasfruchtbonbon	1000	1000
389	1	Veteranenverband	1000	1000
400	1	Weihnachtskerze	200	100000
433	1	Liebesbrief	100	100
1771	65	Medizinischer Verband VII	1013	10130
