1	The World
101	Arun
102	Southern Shara
103	Northern Shara
104	Northern Arun
111	Western Battlefield (Old)
112	Defiance Run
113	Champions' Skyring (Old)
114	Acradan Base (Old)
115	Champions' Skyring
116	Corsairs' Stronghold
117	Kumasylum
200	Island of Dawn
201	Velika
202	Island of Dawn
203	Arcadia
204	Poporia
205	Val Aureum
206	Ostgarath
207	Baldera
208	Velika Wilds
209	TBD
210	Allemantheia
211	Val Elenium
212	Westonia
213	Essenia
214	Val Palrada
215	Veritas District
216	TBD
217	TBD
218	Kaiator
219	Lorcada
220	Sylvanoth
221	Val Tirkai
222	Val Kaeli
223	Helkan District
224	TBD
225	TBD
260	Battleground
261	Alliance
291	Western Battlefield
500	Melricas Passage
1001	Ruinweald
2001	Fey Forest
2002	Woodcutter Palisade
2003	Faerie Pond
2004	Scarwood
2005	Deserted Homestead
2007	Woodland Path
2008	Eldrun Woods
2009	Darkroot Wood
2010	Faevine Vale Camp
2011	Crossroads
2012	Marsh Trailhead
2013	Evergreen Village
2015	Maon's Cabin
2016	Aron's Camp
2017	Spirit Refuge
2018	Wizened Forest
3001	Oblivion Woods
3002	Berzerad Cemetery
3003	Blood Run
3004	Deva Silva
3005	Bestial Vale
3006	Bulwark Camp
3007	Vanguard Outpost
3008	Grave of the Risen Knight
3009	Cave of Bleak Echoes
3010	Bestial Vale
4001	Fyrmount
4002	Brimstone Highlands
4003	Blazing Vale
4004	Molten Reach
4005	Bahaar's Maw
4006	Forge of Fury
4007	Cauldron Outpost
4008	Firebase Intrepid
4009	Firebase Valor
4010	Delthin Mine
4011	Tansin Mine
4012	Akasha's Hideout Entrance
5001	Tuwangi Mire
5002	Tuwangi Garrison
5003	Babok Hollow
5004	Marshlands
5005	Tuwangi Thorp
5006	Mighty Frog Pond
5008	Moss Glen
5009	Burning Frog Altar
5010	Sacred Spawning Pond
6001	Valley of Titans
6002	Invasion-free Zone
6003	Mags Strix
6004	Silent Fields
6005	Colchester
6006	Mags Kulkar
6007	Kulkari Village
6008	Feral Road
6009	Valselok Shrine
6010	Altar of Anguish
6011	Two Oaks Ranch
6012	Echo Ranch
6013	Vindicator Camp
6017	Crescentia Gate
7001	Celestial Hills
7002	Omphalos Plains
7003	Muricai Ruins
7004	Sanctum Mysterium
7005	Casidhe's Stand
7006	Cardovek Remnants
7007	Godric's Farm
7008	Orcan Bivouac
7009	Consecrated Stone
7010	Crossroads of Pythia
8001	Hungry Caverns
8002	Hungry Caverns Vaults
8003	Hungry Caverns Catacombs
8004	Hungry Caverns Depths
8005	Avenger Outpost
8006	Cavern of Shackles
8007	Cavern of Hunger
8008	Cavern of Slaughter
8009	Cavern of Pain
8010	Cavern of Tears
8011	Hungry Caverns Entrance
8012	Vanguard Post Alpha
8013	Vanguard Post Beta
8014	Labyrinth Entrance
8888	TERA Battleground
9001	Ascension Valley
9002	Azarel's Labyrinth
9003	Azarel's Labyrinth Depths
9004	Gallery of Chaos
9005	Gallery of Lust
9006	Gallery of Deceit
9008	Destroyed Advance Camp
9009	Gallery of Fate
9010	Bastion Forest
9011	Relic Hunter Outpost
9012	Vexatus Swamp
9013	Saravash's Ascent Entrance
9810	Entrance to Lakan's Prison
9999	TERA Instanced Space
10001	Serpentis Isle
10002	Boan Strand
10003	Dragonturtle Beach
10004	Kerozen Isle
10005	Adderkin Jungle
10006	Dagon's Tomb
10007	The Beachhead
10008	Coastal Overwatch
10009	Viper Camp
10010	West Beach Tavern
10011	Wahmel's Watermelon Patch
10012	Chelton's Splash Cannon Battery
10013	Zaith's Splash Cannon Battery
10014	Dolme's Horn Workshop
10015	East Beach Tavern
10016	Beach Party
11001	Jagged Coast
11002	Jungle Road
11003	Jungle Patrol Camp
11004	Sunken Yards
11005	Pirate Grotto
11006	Pier Boundary
11007	Dark Anchorage
11008	Pirate Captain's Cabin
11009	Vanguard Bastion
11010	Goat Locker
11011	Bosuns' Roost
11012	Freebooters' Roost
11013	Press Camp
11014	The Planks
11015	Briny Outpost
11016	The Hold
11017	Repositorium
12001	Mistmoor Island
12002	Cutthroat Beach
12003	Rain Cages
12004	Mistmoor Forest
12005	Desolate Coast
12006	Grim Coast
12007	Shrouded Route
12008	Sandbar Beach
12009	{@Rgn:9024001} Entrance
12012	Vindicator Basecamp
12013	Vindicator Outpost
13001	Island of Dawn
13002	Pegasus Platform
13003	Mysterious Ruins
13004	Tainted Gorge
13005	Northern Checkpoint
13006	Shrine of the Demon God
13007	Mathar Spire
13008	Orcan Bivouac
13009	Tainted Gorge Bridge
13010	Eastern Overwatch
13011	Karascha's Lair
13012	Mysterious Temple
13013	Airship Approach
13014	Tainted Gorge Bridge
13015	Abandoned Camp
13016	Bridge of Dawn
13017	Dulari's Camp
13018	Northern Overwatch
13019	Western Island of Dawn
13020	Southern Checkpoint
13021	Eastern Island of Dawn
13022	Tainted Gorge Garrison
13023	Southern Island of Dawn
13024	Shrine of Yurian
13025	Tainted Tor
13026	Northern Tainted Gorge
13027	Tainted Gorge Outpost
13028	Arun Heights
13029	Tainted Gorge Maw
13030	Timeless Woods
14001	Newbaria
15001	Cliffs of Insanity
15002	Land of Fury
15003	Knoll of Screams
15004	Southern Farmland
15005	Ordnarath
15006	Camp Vigilance
15007	Camp Retribution
15008	Dementalith
15009	Camp Redemption
16001	Vale of the Fang
16002	Twisted Plains
16003	Forsaken Fields
16006	Sinestral Manor
16007	Alethea's Last Hope
16008	Runicar Research Camp
16009	Primrose Path
16010	Sinestral Manor Servants' Entrance
17001	Paraanon Ravine
17002	Paraanon Plains
17003	Fanatics Paradise
17004	Altar of Belief
17006	Embattled Outpost
17007	Gloomy Outpost
18001	Colossal Ruins
18002	Mags Kuchanaru
18003	Mags Kurata
18004	Temple of Tithus
18005	Plaza of the Mighty
18006	Arena of the Exalted
18007	Camp Marrakeen
18008	Sietch Bidaum
19001	Freeholds
19002	Bleak Fields
19003	Digory's Farmstead
19004	Lein's Farm
19005	Velik's Vigil
19006	Thrallfield
19007	Ruined Hamlet
19008	Lee's End Stead
19009	Lee's End
19010	Filton's Dairy Farm
19011	Free Brotherhood Encampment
19012	Rootstock Fairground
19013	Bamarama
19014	Lein's Farm
19015	Public Pen
19016	Pig Pen
19017	Sheep Ranch
19018	Sky Pond
19019	Fairground—Cauldron
19020	Fairground—Frying Pan and Stove
19021	Fairground—Fire Pit
19022	Fairground—Salad Table
20001	Tenebrous Mines
20002	Halls of Gloom
20003	Halls of Shadow
20004	Halls of Utterdark
20005	The Pit
20006	Foreman's Outlook
20007	Reliquary Station
20008	Utterdark Outpost
21001	Basilisk Crag
21002	Ubari Oasis
21003	Blasted Valley
21004	Vast Sands
21005	Old Mine Trail
21006	Howling Vale
21007	Vale of Graves
21008	Desert Overwatch
21009	Barrens Outpost
21010	Desert Research Station
21011	Stone Pillar Relics
21012	Mags Tohopka
22001	Eldritch Academy Grounds
22002	Eldritch Academy
22003	Halls of Knowledge
22004	Halls of Power
22005	Malefic Laboratories
22006	Witch-Queen Catacombs
22007	Serena's Park
22008	Eldritch Bastion
22009	Professors Redoubt
22010	Athenaeum
22011	Gallery
22012	Occult Library
22013	Research Library
22014	Thaumaturge Chamber
22015	Grand Hall
22016	Arcane Sanctum
22017	Chirurgeons Laboratory
22018	Hall of Vadoma
23001	Lake of Tears
23002	Pora Elinu Pegasus Platform
23004	Elin's Grove
23005	Blessed Woods
23006	Bloodtalon Camp
23007	Mad Jester Pass
23008	Valkyon Federation Camp
23009	Emergency Camp
23010	Spirit Outpost
23011	Exile's Shack
23012	Kobold Scout Base
24001	Aurum Road
24002	Desert of Plunder
24003	Aurum Road North
24004	Aurum Road South
24005	Sand Wind Village
24006	Redoubt of Lok
24007	Storst Ruins
24008	West Watchpost
24009	Sandwalker Refuge
24010	Torrent Outpost
24011	The Shattered City
24012	Crusader Camp
24013	Cathedral Redoubt
24014	Underground river
25001	Dark Cathedral
25002	Dark Cathedral
25003	Transepts
25004	Vindicator Redoubt
25005	Vault of Tomes
25006	Altar of the Blood Pearl
25007	Dark Cathedral
25008	Grand Chapel
25009	Stadium of Rebirth
25010	Chapterhouse
25011	Stadium of Sacrifice
25012	The Portal
25013	Stadium of Devotion
26001	Blessing Basin
26002	White Hart Run
26003	Celestus Rest
26004	Ethereal Forest
26005	Fountain of Shara
26006	Crossroads Camp
26007	Seekers' Locus
27001	Essenian Crest
27002	Shakazen's Refuge
27003	Serenity Valley
27004	Stronghold of Blood
27005	Silent Hills
27006	Castra Mysterium
27007	Liberation Station
27008	Haven Farm
28001	Blightwood
28002	Shakan's Revenge
28003	Herath Trail
28004	Twisted Vale
28009	Camp Zakai
28010	Garbi Outpost
29001	Timeless Woods
29002	Windwhistle Woods
29003	Heartwood
29004	Startree Forest
29005	Woodstrider Point
29006	Dorana Outpost
30001	Balder's Refuge
30002	High Vale
30003	Seren's Hall
30004	Hall of the Forest
30005	Seren's Garden
30006	Brightleaf Glade
30007	Balder's Pavilion
30008	Lower Archive
30009	Upper Archive
30010	Camp Sunlight
30011	Camp Sagacity
30012	Camp Curiosity
30013	Archive Grounds
30014	Seren's Lake
30015	Archive Stronghold
30016	Stronghold Camp
30017	Lok's Spear
30018	Arkai Perch
30019	Balder's Temple Entrance
30020	Lighthouse of the Sun Entrance
30021	Tree of Wisdom
31000	Lakan's Prison
31001	Tempest Reach
31002	Frost Wastes
31003	Deathfrost Plains
31004	Frostclaw Lake
31005	Icefang Inlet
31006	The Maelstrom
31007	Glacial Bay
31008	Glacial Bay Research Station
31009	Beacon Point Garrison
31010	Batia's Hulk
32001	Mount Tyrannas
32002	Daunting Pass
32003	Winterwolves Encampment
32004	Gloomy Tundra
32005	Bloodblade Mercenary Camp
32006	Frigid Vigil
32007	Tyrant's Overwatch
