1	Le Monde
101	Arun
102	Sud de Shara
103	Nord de Shara
104	Nord d'Arun
111	Champ de bataille Ouest (Ancien)
112	Gorge de Venteguerre
113	Cercle céleste des Champions (Ancien)
114	Base d'Acrada (Ancien)
115	Cercle céleste des Champions
116	Fort des Corsaires
117	Refuge de Kumas
200	Île de l'Aube
201	Velika
202	Île de l'Aube
203	Arcadia
204	Poporia
205	Val Aureum
206	Ostgarath
207	Baldera
208	Étendues de Velika
209	TBD
210	Allemantheia
211	Val Elenium
212	Westonia
213	Essenia
214	Val Palrada
215	District de Veritas
216	TBD
217	TBD
218	Kaiator
219	Lorcada
220	Sylvanoth
221	Val Tirkai
222	Val Kaeli
223	District d'Helkan
224	TBD
225	TBD
260	Champ de bataille
261	Alliance
291	Champ de bataille Ouest
500	Passage de Melricas
1001	Région des Ruines
2001	Forêt féerique
2002	Palissade du Bûcheron
2003	Étang des Fées
2004	Bois des Stigmates
2005	Domaine abandonné
2007	Chemin boisé
2008	Forêt Eldrun
2009	Bois de sombres racines
2010	Camp de la Vallée Faevine
2011	Croisement
2012	Départ du sentier du marécage
2013	Village de verdure
2015	Cabane de Maon
2016	Camp d'Aron
2017	Refuge des Esprits
2018	Forêt effritée
3001	Bois de l'Oubli
3002	Cimetière de Berzerad
3003	Piste sanglante
3004	Deva Silva
3005	Vallée de la Bête
3006	Camp de la Digue
3007	Poste de l'Avant-garde
3008	Sépulture du Chevalier ressuscité
3009	Caverne des Echos lugubres
3010	Vallée de la Bête
4001	Montagne Fyr
4002	Hautes terres sulfureuses
4003	Val embrasé
4004	Plaine en fusion
4005	Mâchoire de Bahaar
4006	Forge de la Fureur
4007	Avant-poste du Chaudron
4008	Base de feu de l'Intrépidité
4009	Base de feu de la Bravoure
4010	Mine de Delthin
4011	Mine de Tansin
4012	Entrée du Repaire d'Akasha
5001	Marais Tuwangi
5002	Garnison Tuwangi
5003	Vallée de Babok
5004	Marécages
5005	Hameau Tuwangi
5006	Bassin de Grandereinette
5008	Val moussu
5009	Autel de la Grenouille embrasée
5010	Étang de conjuration sacré
6001	Vallée des Titans
6002	Zone de paix
6003	Mags Strix
6004	Terres du Silence
6005	Colchester
6006	Mags Kulkar
6007	Village fouaille-tripes
6008	Route sauvage
6009	Sanctuaire de Valselok
6010	Autel de l'Angoisse
6011	Ferme des Deux Chênes
6012	Ferme de l'Echo
6013	Camp des Défenseurs
6017	Porte de Crescentia
7001	Collines célestes
7002	Plaines d'Omphalos
7003	Ruines de Muricai
7004	Sanctum Mysterium
7005	Poste de Casidhe
7006	Vestiges de Cardovek
7007	Ferme de Godric
7008	Bivouac orkan
7009	Pierre consacrée
7010	Croisée de la Pythie
8001	Cavernes affamées
8002	Chambres des Cavernes affamées
8003	Catacombes des Cavernes affamées
8004	Profondeurs des Cavernes affamées
8005	Avant-poste du Vengeur
8006	Caverne des Entraves
8007	Caverne de la Faim
8008	Caverne du Massacre
8009	Caverne de la Douleur
8010	Caverne des Larmes
8011	Entrée des Cavernes affamées
8012	Poste alpha de l'avant-garde
8013	Poste bêta de l'avant-garde
8014	Entrée du Labyrinthe
8888	Champ de bataille de TERA
9001	Vallée de l'Ascension
9002	Labyrinthe d'Azarel
9003	Profondeurs du Labyrinthe d'Azarel
9004	Galerie du Chaos
9005	Galerie de la Luxure
9006	Galerie de l'Imposture
9008	Base avancée détruite
9009	Galerie du Destin
9010	Forêt du Bastion
9011	Avant-poste des Chasseurs de Reliques
9012	Marais Vexatus
9013	Entrée de l'Ascension de Saravash
9810	Entrée de la Prison de Lakan
9999	Zone instanciée de TERA
10001	Île Serpentis
10002	Rivage du Boa
10003	Plage de la Tortue dragon
10004	Ile Kerozen
10005	Jungle Adderkin
10006	Tombe de Dagon
10007	La Tête de pont
10008	Poste de guet côtier
10009	Camp de la Vipère
10010	Taverne à l'Ouest de la Plage
10011	Potager à pastèques de Wahmel
10012	Batterie de canons pulvérisants de Chelton
10013	Batterie de canons pulvérisants de Zaith
10014	Atelier de Corne de Dolme
10015	Taverne au Sud de la Plage
10016	Soirée plage
11001	Côte déchiquetée
11002	Route de la jungle
11003	Camp des patrouilleurs de la jungle
11004	Parcelles englouties
11005	Grotte des pirates
11006	Limite de la Jetée
11007	Ancrage sombre
11008	Cabine du capitaine des pirates
11009	Bastion de l'avant-garde
11010	Enclos de chèvres
11011	Perchoir du maître
11012	Perchoir des pirates
11013	Camp de subjugation
11014	Les planches
11015	Avant-poste marin
11016	Le Bastion
11017	Repositorium
12001	Ile des brumes
12002	Plage des gorges tranchées
12003	Prisons de la pluie
12004	Forêt des brumes
12005	Côte abandonnée
12006	Côte sinistre
12007	Route ténébreuse
12008	Plage des bancs de sable
12009	Entrée du {@Rgn:9024001}
12012	Camp de base des Défenseurs
12013	Avant-poste des Défenseurs
13001	Île de l'aube
13002	Plateforme du pégase
13003	Ruines mystérieuses
13004	Vallée maudite
13005	Point de contrôle nord
13006	Autel du Dieu démoniaque
13007	Aiguille mathar
13008	Bivouac orkan
13009	Pont de la Vallée maudite
13010	Poste de guet est
13011	Repaire de Karascha
13012	Temple mystérieux
13013	Piste d'atterrissage de l'aéronef
13014	Pont de la Vallée maudite
13015	Campement abandonné
13016	Pont de l'aube
13017	Campement de Dulari
13018	Poste de guet du Nord
13019	Île de l'Aube Ouest
13020	Point de contrôle Sud
13021	Île de l'Aube Est
13022	Garnison de la Vallée maudite
13023	Île de l'Aube Sud
13024	Autel de Yurian
13025	Roche teintée
13026	Vallée maudite Nord
13027	Avant-poste de la Vallée maudite
13028	Hauteurs d'Arun
13029	Gueule de la Vallée maudite
13030	Bois intemporels
14001	Noobaria
15001	Falaises de la Folie
15002	Terre de la Furie
15003	Butte aux Hurlements
15004	Ferme du Sud
15005	Ordnarath
15006	Camp de la Vigilance
15007	Camp de la Vengeance
15008	Psycholithe
15009	Camp de la Rédemption
16001	Val du Croc
16002	Plaine biscornue
16003	Champs abandonnés
16006	Manoir sinistre
16007	Dernier espoir d'Alethea
16008	Site de recherche de Runicar
16009	Chemin de primevères
16010	Entrée de service du Manoir sinistre
17001	Ravin de Paraanon
17002	Plaines de Paraanon
17003	Paradis des Fanatiques
17004	Autel de la foi
17006	Avant-poste assiégé
17007	Avant-poste lugubre
18001	Ruines colossales
18002	Mags Kuchanaru
18003	Mags Kurata
18004	Temple de Tithus
18005	Place du Tout-puissant
18006	Arène des Inspirés
18007	Camp de Marrakeen
18008	Sietch Bidaum
19001	Terres libres
19002	Champs lugubres
19003	Ferme de Digory
19004	Ferme de Lein
19005	Veillée de Velik
19006	Champ de l'Esclavage
19007	Hameau en ruines
19008	Site de la fin de Lee
19009	La fin de Lee
19010	Ferme laitière de Filton
19011	Campement de la confrérie libre
19012	Champ de foire du festival des Campagnes en fête
19013	Bamarama
19014	Ferme de Lein
19015	Parc public
19016	Enclos à cochons
19017	Ferme ovine
19018	Etang céleste
19019	Chaudron du champ de foire
19020	Poêle à frire et four du champ de foire
19021	Brasero du champ de foire
19022	Buffet de salade du champ de foire
20001	Mines ténébreuses
20002	Halls de la Mélancolie
20003	Halls des Ombres
20004	Halls des Ténèbres
20005	La Fosse
20006	Guet du contremaître
20007	Station du reliquaire
20008	Avant-poste des Ténèbres
21001	Roc du Basilic
21002	Oasis Ubari
21003	Vallée désolée
