21110	Arrow Volley XI		
11200	Arrow XII		
60100	Backstep		
161000	Breakaway Bolt X		
181000	Close Quarters X	1st hit	
181001	Close Quarters X	2nd hit	
230220	Concussion Trap II		
280200	Eagle's Eye II		
240220	Ensnaring Trap II		
250220	Explosion Trap II		
70300	Feign Death III		
220800	Final Salvo VIII	1st hit	
220801	Final Salvo VIII	2nd hit	
220802	Final Salvo VIII	3rd hit	
220803	Final Salvo VIII	4th hit	
220804	Final Salvo VIII	5th hit	
150720	Incendiary Trap VII		
41210	Penetrating Arrow XII	level 0	
41211	Penetrating Arrow XII	level 1	
41212	Penetrating Arrow XII	level 2	
41213	Penetrating Arrow XII	level max	
190800	Poison Arrow VIII		
30910	Radiant Arrow IX	level 0	
30911	Radiant Arrow IX	level 1	
30912	Radiant Arrow IX	level 2	
30913	Radiant Arrow IX	level max	
50220	Rain of Arrows II		
80900	Rapid Fire IX	1st hit	
80901	Rapid Fire IX	2nd hit	
80902	Rapid Fire IX	3rd hit	
80903	Rapid Fire IX	4th hit	
80904	Rapid Fire IX	5th hit	
80905	Rapid Fire IX	6th hit	
80906	Rapid Fire IX	7th hit	
200200	Restraining Arrow II		
141000	Retaliate X		
90620	Slow Trap VI		
210200	Sniper's Eye II		
100420	Stunning Trap IV		
310100	Tenacity		
290100	Thunderbolt		
120300	Velik's Mark III		
170300	Web Arrow III		
