240120	Master's Leash II		
100300	Debilitate III		
111000	Retaliate X		
11200	Combo Attack XII	1st hit	
11201	Combo Attack XII	2nd hit	
11202	Combo Attack XII	3rd hit	
11203	Combo Attack XII	4th hit	
120100	Infuriate		
131100	Spring Attack XI		false
131130	Spring Attack XI		true
151000	Charging Lunge X		
160900	Second Wind IX		
170200	Adrenaline Rush II		
181100	Shield Barrage XI		
190100	Pledge of Protection		
200100	Menacing Wave		
20200	Stand Fast II		
210400	Lockdown Blow IV		
220600	Iron Will VI		
230200	Master's Leash II		
240100	Chained Leash		
250700	Wallop VII		false
250730	Wallop VII		true
260100	Backstep		
270100	Rallying Cry		
30800	Onslaught VIII		false
30830	Onslaught VIII		true
40900	Challenging Shout IX		
50100	Shield Bash	1st hit	
50100	Shield Bash	2nd hit	
70300	Guardian Shout III		
80700	Shield Counter VII		
90300	Leash III		
