100100	Resurrect			
110100	Summon: Party		
11200	Sharan Bolt XII		
120100	Vow of Rebirth		
130200	Aura of the Merciless II		
140200	Aura of the Swift II			
150400	Aura of the Unyielding IV		
160100	Aura of the Tenacious		
170100	Teleport Jaunt			
181100	Arun's Vitae XI		
210100	Retaliate I		
21000	Corruption Ring X		
21012	Infusion Ring X			
211000	Retaliate X		
220100	Arun's Tears			
231000	Metamorphic Smite X			
240900	Volley of Curses IX		
240910	Volley of Curses IX				
251700	Thrall of Protection XVII			
271400	Thrall of Life XIV				
280200	Sonorous Dreams II		
280210	Sonorous Dreams II		
290200	Regression II			
300300	Curse of Exhaustion III		
300310	Curse of Exhaustion III				
310100	Curse of Confusion		
310110	Curse of Confusion			
320200	Mire II		
320210	Mire II			
331500	Thrall of Vengeance XV			
340800	Thrall of Wrath VIII		
350100	Command: Attack		
360100	Command: Follow		
370200	Warding Totem II		
40200	Ancient Binding II		
410100	Contagion		
420100	Boomerang Pulse		
420120	Boomerang Pulse		
50900	Titanic Favor IX		
50910	Titanic Favor IX	
60100	Shara's Lash		
67044429	Warding Totem II		
67044430	Thrall of Bullshit		
67044431	Thrall of Bullshit 		
67044432	Thrall of Vengeance XIV		
70100	Mana Infusion		
81100	Metamorphic Blast XI		
90100	Arun's Cleansing Touch		
