190910	Healing Immersion II		
370210	Focus Heal IX		
100100	Purifying Circle		
11220	Divine Radiance XII	1st hit	
11221	Divine Radiance XII	2nd hit	
11222	Divine Radiance XII	3rd hit	
11223	Divine Radiance XII	4th hit	
111100	Metamorphic Blast XI		
120100	Resurrect		
130100	Homeward Bound		
140100	Summon: Party		
150100	Blessing of Zenobia		
160900	Shocking Implosion IX		
170400	Prayer of Peace IV		
181200	Heal Thyself XII		
200200	Blessing of Seren II		
20900	Regeneration Circle IX		
210100	Blessing of Arachne		
220500	Kaia's Shield V		
230500	Blessing of Balder V		
251000	Retaliate X		
271000	Final Reprisal X		false
271030	Final Reprisal X		true
280100	Mana Charge		
291100	Triple Nemesis XI	1st hit	
291101	Triple Nemesis XI	2nd hit	
291102	Triple Nemesis XI	3rd hit	
300800	Plague of Exhaustion VIII		
30700	Healing Circle VII		
310200	Guardian Sanctuary II		
320200	Divine Respite II		
341100	Restorative Burst XI		
350410	Energy Stars IV		
380100	Backstep		
390100	Grace of Resurrection		
400120	Zenobia's vortex		
410100	Divine Intervention		
50200	Blessing of Shakan II		
60200	Arise II		
70300	Slumber III		
80100	Mana Infusion		
261100	Fiery Escape XI		
