6221107	Veil of shadows			
100200	Pendulum Strike II		
100230	Pendulum Strike II			
10300	Spiral Barrage III		
10301	Spiral Barrage III		
10302	Spiral Barrage III		
10303	Spiral Barrage III		
10304	Spiral Barrage III		
10305	Spiral Barrage III			
110200	Shadow Lash II		
110201	Shadow Lash II		
110202	Shadow Lash II		
110203	Shadow Lash II		
110290	Shadow Lash II		
120200	Shadow Burst II		
120200	Shadow Burst II		
120201	Shadow Burst II		
120201	Shadow Burst II		
120230	Shadow Burst II		
130100	Soul Reversal		
130120	Soul Reversal		
130130	Soul Reversal			
140300	Retaliate III		
150300	Retribution III		
150380	Retribution III		
160100	Shadow Reaping		
170100	Spirit Gallows		
170110	Spirit Gallows		
180100	Shrouded Escape		
200100	Cable Step		
200130	Cable Step		
30300	Double Shear III		
30300	Double Shear III		
30330	Double Shear III		
400100	Shadow Step		
400130	Shadow Step		
40300	Sundering Strike III		
40320	Sundering Strike III		
40330	Sundering Strike III			
50300	Grim Strike III		
50300	Grim Strike III		
50330	Grim Strike III		
50330	Grim Strike III		
60200	Death Spiral II		
60230	Death Spiral II		
60231	Death Spiral II				
70200	Final Judgment II		
70230	Final Judgment II		
70231	Final Judgment II			
80200	Whipsaw II		
80200	Whipsaw II		
80230	Whipsaw II		
80230	Whipsaw II		
90100	Smite		
